,image,person,posture,body,female,male,dominant,center
42,0_135070.jpg,yes,male sitting & male sitting,male upper body without legs & male upper body without legs,no females present,"affectionate, relaxed",neither,both
43,0_135350.jpg,yes,"female, standing","female, upper body with legs","confident, attractive",no males shown,neither,female
44,0_137160.jpg,yes,female lying & male sitting,female upper body with legs & male upper body with legs,"casual, resting, not active.","casual, resting, not active.",neither,neither
45,0_137170.jpg,yes,"male, riding exercise bike","male, upper body with legs",no females portrayed,"playful, engaged in activity",neither,male
46,0_137440.jpg,yes,female reclining & male standing,female upper body without legs & male legs only,"relaxed, passive","active, dynamic",neither,female
47,0_137750.jpg,yes,"male, standing &","male, upper body with legs &",not applicable,confident and unique,neither,male
48,0_137890.jpg,yes,"female, lying down","female, upper body with legs",confidently posed,no males portrayed,neither,female
49,0_138080.jpg,yes,female-standing & female-skating,female-upper body with legs & female-upper body with legs,"graceful, focused",not applicable,neither,female
50,0_140870.jpg,yes,"female, standing","female, upper body with legs","confident, fit",no males present,neither,female
51,0_142190.jpg,yes,female-standing,female-upper body with legs,"confident, stylish",no males present,neither,female
52,0_145360.jpg,yes,"female, seated &","female, upper body with legs &","surprised, amazed",there are no males shown.,neither,female
53,0_148740.jpg,yes,male standing & female standing & female standing & male sitting & female standing & male standing & female standing,male upper body with legs & female upper body with legs & female upper body with legs & male upper body without legs & female upper body with legs & male upper body with legs & female upper body with legs,casual or promoting product,casual or promoting product,neither,neither
54,0_151720.jpg,yes,"female, reclining","female, upper body with legs","casual, relaxed",no males shown,neither,female
55,0_152480.jpg,yes,female sitting & female sitting,female upper body with legs & female upper body with legs,"happy, engaged with technology",not applicable,neither,both
56,0_154400.jpg,yes,female standing &,female upper body with legs &,"casual, relaxed",no males portrayed,neither,female
57,0_156200.jpg,yes,female reclining & male standing,female upper body without legs & male lower body with legs,"relaxed, passive","active, prominently displayed",male,male
58,0_156270.jpg,no,,,,,neither,neither
59,0_156310.jpg,yes,female standing & female standing & female standing,female upper body with legs & female upper body with legs & female upper body with legs,joyful and glamorous,not applicable,neither,female
60,0_157400.jpg,yes,"female, standing","female, upper body with legs","confident, fashionable",no males displayed,neither,female
61,0_157430.jpg,yes,female-standing & female-standing & female-standing,female-upper body with legs & female-upper body with legs & female-upper body with legs,"confident, attractive",not applicable,neither,female
62,0_157480.jpg,yes,female sitting & female leaning & female sitting,female upper body without legs & female upper body without legs & female upper body without legs,"glamorous, attractive, confident",no males depicted,neither,female
63,0_157510.jpg,yes,"female, seated","female, upper body with legs","confident, attractive",not applicable (no males shown),neither,female
64,0_157520.jpg,yes,female standing & female standing,female upper body with legs & female upper body with legs,playful and joyful,no males portrayed,neither,female
65,0_157550.jpg,yes,"female, standing","female, upper body without legs",playfully and attractively,no males present,neither,female
66,0_157560.jpg,yes,"female-tilted, male-facing away &",female-upper body with legs & male-upper body with legs,"sensually, confidently","intimately engaged, not directly visible",neither,female
67,0_157740.jpg,yes,"female, standing","female, upper body with legs","suggestively, confidently",no males depicted,female,female
68,0_158710.jpg,yes,"female, standing","female, upper body with legs","posed, holding a product",no males in image,neither,female
69,0_163400.jpg,yes,"female, kneeling","female, upper body with legs","healthy, fit, approachable",no male(s) present in the image.,neither,female
70,0_166490.jpg,yes,male standing & female standing,male upper body without legs & female upper body without legs,"confident, intimate, close","confident, intimate, strong",neither,both
71,0_18590.jpg,yes,male standing & female leaning,male upper body without legs & female upper body without legs,"confident, stylish","relaxed, formal",neither,both
72,0_18670.jpg,yes,female sitting & female standing,female upper body with legs & female upper body with legs,"confident, fashionable",not applicable,female,female
73,0_19090.jpg,yes,"male, lying down","male, upper body with legs",no females portrayed,"confident, seductive",neither,male
74,0_19700.jpg,yes,"female, smiling","female, face only","happily, confidently",no males portrayed,neither,female
75,0_20920.jpg,yes,"female, standing","female, upper body with legs",confident and attractive,not applicable,neither,female
76,0_20970.jpg,yes,"female, reclining","female, upper body without legs","confident, seductive",not applicable,female,female
77,0_21010.jpg,yes,"female, reclining &","female, upper body with legs &","sensual, contemplative",no males portrayed,neither,female
78,0_21120.jpg,yes,"female, standing","female, upper body with legs","sensually, confidently",no males present,neither,female
79,0_21140.jpg,yes,male sitting & female leaning,male upper body with legs & female upper body with legs,sensually; confident,strong; contemplative,neither,both
80,0_23560.jpg,yes,"female, leaning","female, upper body with legs","stylishly, confidently",not applicable,neither,female
81,0_23570.jpg,yes,"female, sitting &","female, upper body with legs &","casually, confidently",no males shown,neither,female
82,0_24640.jpg,yes,female-standing,female-upper body without legs,"confident, strong presence",not applicable,female,female
83,0_32330.jpg,yes,"female, standing &","female, upper body with legs &","seductively, confidently",no males present,neither,female
84,0_32440.jpg,yes,"female, sitting","female, upper body with legs","confident, relaxed",no males present,neither,female
85,0_32670.jpg,yes,"female, standing &","female, upper body with legs &",confidently playful and inviting,no males shown,neither,female
86,0_32820.jpg,yes,"female, seated &","female, upper body without legs &","confident, approachable",no males present,neither,female
87,0_32840.jpg,yes,"female, facing forward &","female, face only &",playful and alluring,no males shown,neither,female
88,0_33160.jpg,yes,"female, hands raised & back slightly arched","female, upper body with legs",confidently and attractively,no males present,neither,female
89,0_34510.jpg,yes,female sitting & male sitting & male sitting,female upper body with legs & male upper body with legs & male upper body with legs,"casually, socializing, dining","casually, socializing, dining",neither,both
90,0_34670.jpg,yes,"female, arms raised &","female, upper body without legs &","relaxed, carefree",no male shown,neither,female
91,0_34910.jpg,yes,female standing & male standing,female upper body without legs & male upper body without legs,"intimate, affectionate","confident, direct",neither,both
92,0_35240.jpg,yes,"female, holding pose","female, upper body without legs",colorful and playful,no males present,neither,female
93,0_36520.jpg,yes,"female, sitting","female, upper body with legs",playful and lighthearted,no males shown,neither,female
94,0_36610.jpg,yes,female sitting & female standing,female upper body with legs & female upper body with legs,"active, athletic, promotional",no males shown,neither,female
95,0_36960.jpg,yes,"female, smiling","female, face only","happy, refreshing, enjoying",no males shown,neither,female
96,0_38730.jpg,yes,female seated & male seated,female upper body with legs & male upper body with legs,"casual, intimate","casual, intimate",neither,both
97,0_38740.jpg,yes,"female, reclining","female, upper body with legs","sensually, provocatively",not applicable,neither,female
98,0_39200.jpg,yes,female standing & female leaning,female upper body without legs & female upper body without legs,"elegantly, intimately",not applicable,neither,female
99,0_39260.jpg,yes,female standing & female standing & female standing,female upper body with legs & female upper body with legs & female upper body with legs,confident and stylishly dressed,no males portrayed,neither,female
100,0_39350.jpg,yes,female seated &,"female, upper body with legs &","elegantly, gracefully",no males present,neither,female
101,0_39520.jpg,yes,"female, looking over shoulder","female, upper body without legs","elegantly, softly.",no males shown.,neither,female
102,0_39530.jpg,yes,"female, seated &","female, upper body with legs &","elegant, confident",no males portrayed,neither,female
103,0_39540.jpg,yes,"female, seated &","female, upper body without legs &","stylish, glamorous.",no males portrayed.,neither,female
104,0_39600.jpg,yes,female standing & female lounging & female standing,female upper body with legs & female upper body with legs & female upper body with legs,"portrayed casually, attractively.",no males shown.,neither,female
105,0_40970.jpg,yes,"female, crouching &","female, upper body with legs &","confident, fashionable.",no males present.,neither,female
106,0_41130.jpg,yes,male embracing & female embracing,male upper body with legs & female upper body with legs,affectionate and intimate,affectionate and intimate,neither,both
107,0_41310.jpg,yes,female-standing & male-standing,female-upper body without legs & male-upper body without legs,"concerned, possibly troubled","nonchalant, potentially dismissive",neither,female
108,0_41340.jpg,yes,female standing & male standing,female face only & male upper body without legs,"injured, needing support","concerned, supportive",neither,female
109,0_41370.jpg,yes,"male, dynamic pose","male, upper body with legs",no females shown,"confident, energetic",neither,male
110,0_41400.jpg,yes,female lying & male standing & male standing,female upper body without legs & male upper body with legs & male upper body with legs,female portrayed in a submissive manner,males portrayed in a dominant manner,male,female
111,0_41740.jpg,yes,female standing & female standing & female standing,female upper body with legs & female upper body with legs & female upper body with legs,"happy, energetic, promoting",not applicable,neither,female
112,0_42360.jpg,yes,female reclining,female upper body without legs,"sensually, attractively",no males shown,neither,female
113,0_42620.jpg,yes,"female, standing with arms raised&","female, upper body with legs&","confidently, positively.",no males to portray.,neither,female
114,0_42630.jpg,yes,female sitting & female sitting & female standing,female upper body with legs & female upper body with legs & female upper body with legs,"positively, actively engaging","cannot assess, males not visible",neither,female
115,0_45400.jpg,yes,"female, leaning","female, upper body with legs",casually relaxed,no males present,neither,female
116,0_45500.jpg,yes,"female, standing","female, upper body with legs","contemplative, profile view",no males shown,neither,female
117,0_46160.jpg,yes,"female, standing &","female, upper body without legs &","confident, promoting a cause",no males in image,neither,female
118,0_46740.jpg,yes,"female, sitting &","female, upper body with legs &","positively, confident",no males shown,neither,female
119,0_49400.jpg,yes,"female, standing &","female, upper body without legs &",elegant and sensual,no males present,neither,female
120,0_49450.jpg,yes,"female, standing &","female, upper body without legs &","confident, stylish",not applicable,neither,female
121,0_49660.jpg,yes,female-standing & male-standing,female-upper body without legs & male-upper body without legs,"sophisticated, confident","observant, secondary",female,female
122,0_50070.jpg,yes,"female, standing","female, upper body without legs",sensual and objectified,no males depicted,neither,female
123,0_5010.jpg,yes,"female, seated","female, upper body with legs","thoughtful, relaxed",no males shown,neither,female
124,0_51280.jpg,yes,female seated & male lying,female upper body without legs & male upper body without legs,"relaxed, attractive","relaxed, carefree",neither,female
125,0_51500.jpg,yes,"female, standing","female, upper body with legs",poised and confident,not applicable.,neither,female
126,0_53220.jpg,yes,"female, seated &","female, upper body without legs &","poised, relaxed, elegant",no males present,neither,female
127,0_53950.jpg,yes,female standing & female standing,female upper body with legs & female upper body with legs,"caring, nurturing",not applicable,neither,female
128,0_54900.jpg,yes,"male, standing","male, upper body with legs",no females present,"confident, sporty",neither,male
129,0_57500.jpg,yes,male sitting & female reclining,male upper body with legs & female upper body with legs,"artistically, non-sexually","confidently, non-aggressively",neither,both
130,0_61880.jpg,yes,female standing & male standing,female upper body with legs & male upper body with legs,"intimate, vulnerable","protective, strong",neither,female
131,0_620.jpg,yes,"female, running","female, upper body with legs","active, confident, athletic",no males portrayed,neither,female
132,0_62100.jpg,yes,female-standing & female-partially seen &,female-upper body with legs & female-face only &,"stylish, confident",not applicable,neither,female
133,0_62200.jpg,yes,"female, standing","female, upper body without legs","stylish, elegant",no males depicted,neither,female
134,0_63820.jpg,yes,female & standing,female & upper body with legs,"fashionable, confident",no males shown,neither,female
135,0_63970.jpg,yes,"female, leaning","female, upper body with legs","contemplatively, stylishly",no males portrayed,neither,female
136,0_63980.jpg,yes,"female, standing","female, upper body with legs","confidently, fashionably",no males shown,neither,female
137,0_63990.jpg,yes,"female, sitting &","female, upper body with legs &","stylish, relaxed",no males present,neither,female
138,0_64000.jpg,yes,"female, sitting","female, upper body with legs","seductive, confident",no males depicted,neither,female
139,0_64050.jpg,yes,"female, reclining &","female, upper body without legs &","portrayed in a glamorous, seductive manner.",no males to describe.,neither,female
140,0_64150.jpg,yes,female sitting & male standing,female upper body with legs & male upper body with legs,playful and lively,confident and supportive,neither,female
141,0_64160.jpg,yes,"female, reclining","female, upper body with legs",sensually,,neither,female
142,0_64240.jpg,yes,female standing,female upper body with legs,"confident, attractive",no males portrayed,neither,female
143,0_65600.jpg,yes,female posing & female posing & female posing,female upper body with legs & female upper body with legs & female upper body with legs,"posed, stylish, modeling hosiery",not applicable (no males),neither,female
144,0_67080.jpg,yes,cannot determine posture or gender,cannot determine gender or body parts shown,not applicable,not applicable,neither,neither
145,0_69070.jpg,yes,female standing & male standing,female upper body without legs & male upper body without legs,"playful, confident","confident, exposed",neither,both
146,0_71410.jpg,yes,"male, standing with hands behind head &","male, upper body with legs &",no females portrayed,confident and attractive,neither,male
147,0_71510.jpg,yes,"female, sitting &","female, upper body with legs &","contemplative, styled",no males shown,neither,female
148,0_72960.jpg,yes,male standing & male crouching,male upper body without legs & male upper body without legs,not applicable,"assertive, focused",neither,male
149,0_74140.jpg,yes,female sitting & male standing,female upper body without legs & male upper body without legs,in distress or overwhelmed,"not clearly portrayed, presumably normal",neither,female
150,0_760.jpg,yes,"female, running &","female, upper body with legs &","actively, confidently",not applicable,neither,female
151,0_7640.jpg,yes,"male, active posture","male, upper body with legs",no females present,actively playing basketball,neither,male
152,0_77000.jpg,yes,"female, sitting &","female, upper body with legs &","stylishly, comfortably",not applicable,neither,female
153,0_77030.jpg,yes,"female, reclining &","female, upper body with legs &","glamorously, luxuriously",no males portrayed,neither,female
154,0_77110.jpg,yes,"female, seated","female, upper body with legs",suggestively,not applicable,neither,female
155,0_77260.jpg,yes,"female, seated &","female, upper body with legs &",relaxed and fashionable,no males present,neither,female
156,0_77970.jpg,yes,female standing & female standing,female upper body without legs & female upper body with legs,confidently relaxed,no males portrayed,neither,female
157,0_77980.jpg,yes,female jumping & female jumping,female upper body with legs & female upper body with legs,"actively, joyfully",not applicable,neither,female
158,0_78100.jpg,yes,female standing & male standing,female upper body with legs & male upper body with legs,"happy, energetic","happy, confident",neither,both
159,0_78150.jpg,yes,"female, standing & laughing","female, upper body with legs","joyful, carefree",no males shown,neither,female
160,0_78170.jpg,yes,"male, standing with crossed arms","male, upper body with legs",no females shown,"confident, relaxed",neither,male
161,0_79040.jpg,yes,"female, crouching &","female, upper body with legs &",stylish and poised,not applicable,neither,female
162,0_79480.jpg,no,,,,,neither,neither
163,0_80170.jpg,yes,"female, sitting","female, upper body with legs","relaxed, enjoying",no males shown,neither,female
164,0_84090.jpg,yes,"female, facing forward","female, face only","confident, alluring, glamorous",not applicable,neither,female
165,0_84110.jpg,yes,"female, facing camera","female, upper body without legs","glamorous, confident",no males shown,female,female
166,0_84420.jpg,yes,"female, posing","female, face only","posed, polished, and made up",no males portrayed,neither,female
167,0_84720.jpg,yes,"female, sitting","female, upper body with legs","relaxed, creative, casual",no males portrayed,neither,female
168,0_84830.jpg,yes,"female, standing","female, upper body with legs","confident, stylish",no male(s) portrayed,neither,female
169,0_84860.jpg,yes,"female, standing","female, upper body with legs",graceful and confident,no males portrayed,neither,female
170,0_850.jpg,yes,"female, standing &","female, upper body with legs &","confident, athletic",no males shown,neither,female
171,0_85000.jpg,yes,"female, sitting","female, upper body with legs",playful and confident,not applicable,neither,female
172,0_85240.jpg,yes,"female, standing","female, upper body with legs","happy, confident",no males shown,neither,female
173,0_85520.jpg,yes,"female, reclining &","female, upper body with legs &","relaxed, confident",no males depicted,neither,female
174,0_86780.jpg,yes,female standing & male standing,female upper body with legs & male upper body with legs,playfully confident.,relaxed and cheerful.,neither,both
175,0_87620.jpg,yes,"male, sitting","male, upper body without legs",no females portrayed,"neutral, no explicit portrayal",neither,male
176,0_87660.jpg,yes,male-standing & female-standing,male-upper body with legs & female-upper body with legs,"confident, relaxed","playful, engaged",neither,both
177,0_87980.jpg,yes,male standing & female standing,male upper body without legs & female upper body without legs,"physically close, possibly intimate","casual, unaware or ignoring the viewer",neither,male
178,0_89660.jpg,yes,"female, standing &","female, upper body with legs &","confident, happy.",no males to portray.,neither,female
179,0_91020.jpg,yes,"female, sitting","female, upper body with legs","thoughtful, maybe vulnerable",not applicable,neither,female
180,0_91410.jpg,yes,"female, standing &","female, upper body with legs &","stylishly, confidently",no males portrayed,neither,female
181,0_91630.jpg,yes,"female, seated","female, upper body with legs","casual, approachable, stylish",no males.,neither,female
182,0_91700.jpg,yes,"female, bending over","female, upper body with legs","curious, examining",no males present,neither,female
183,0_9450.jpg,yes,"female, reclining &","female, upper body without legs &","sensually, attractively",no males shown,neither,female
184,0_9460.jpg,yes,"female, reclining","female, upper body with legs","sensually, confidently",no males present,neither,female
185,0_9470.jpg,yes,female sitting & female sitting,female upper body with legs & female upper body with legs,"sensual, fashionable",no males portrayed,neither,female
186,0_94800.jpg,yes,"female, neutral &","female, face only &",glamorous and alluring,no males portrayed,neither,female
187,0_94950.jpg,yes,female standing & female standing,female upper body with legs & female upper body with legs,"positively, with confidence.",no males present.,neither,both
188,0_94990.jpg,yes,"female, standing","female, upper body without legs",casually eating,not applicable,neither,female
189,0_9500.jpg,yes,"female, various poses &","female, upper body with legs &",confidence and attractiveness,not applicable,neither,female
190,0_95150.jpg,yes,female lying down,female upper body without legs,glamorous and seductive,no males portrayed,neither,female
191,0_9580.jpg,yes,male & standing,male & upper body without legs,no females shown,"confident, attractive portrayal",neither,male
192,0_9590.jpg,yes,female sitting & male sitting,female upper body with legs & male upper body without legs,confident and stylish,thoughtful and stylish,neither,female
193,0_97450.jpg,yes,"female, sitting","female, upper body without legs","casually, attractively",no male present,neither,female
194,0_97590.jpg,yes,"female, standing","female, upper body with legs","playful, lively",not applicable,neither,female
195,0_9870.jpg,yes,"female, sensually posed","female, upper body without legs","sensual, glamorous.",no males present.,neither,female
196,10_170003.jpg,yes,female standing & female standing & female standing & female standing & female standing & female standing & female standing,female upper body with legs & female upper body with legs & female upper body with legs & female upper body with legs & female upper body with legs & female upper body with legs & female upper body with legs,"positively, diverse, confident",not applicable,neither,female
197,10_170032.jpg,yes,"female, dynamic pose","female, upper body with legs","fashionably, dynamically",no males,neither,female
198,10_170042.jpg,yes,"female, sitting","female, upper body with legs","fashionable, relaxed",no males shown,neither,female
199,10_170054.jpg,yes,"female, sitting","female, upper body with legs","elegant, relaxed",no males depicted,neither,female
200,10_170061.jpg,yes,"female, standing","female, upper body with legs",confident and fit,no males present,neither,female
201,10_170072.jpg,yes,male sitting & female standing,male upper body with legs & female upper body with legs,"glamorous, fashionable",submissive posture,female,female
202,10_170108.jpg,yes,female standing & female standing & female standing,female upper body with legs & female upper body with legs & female upper body with legs,confident and glamorous,not applicable,neither,female
203,10_170230.jpg,yes,"male, standing &","male, upper body with legs &",no females present,"confident, fit",neither,male
204,10_170244.jpg,yes,"male, seated & contemplative","male, upper body with legs",no females portrayed,"thoughtful, contemplative",neither,male
205,10_170252.jpg,yes,male standing & male standing,male upper body with legs & male upper body without legs,not applicable,"confident, athletic",neither,male
206,10_170266.jpg,yes,"female, standing","female, upper body with legs","positively, smiling",no males shown,neither,female
207,10_170298.jpg,,,,,,,
208,10_170300.jpg,yes,female standing & female leaning & female standing & female biting,female upper body without legs & female upper body without legs & female upper body without legs & female face only,"sexually suggestive, eating food",not applicable,neither,female
209,10_170312.jpg,yes,"female, sitting &","female, upper body with legs &","sensual, confident",no males shown,female,female
210,10_170322.jpg,yes,"male, standing","male, upper body without legs",there are no females,"posed, confident",neither,male
211,10_170363.jpg,yes,female seated & male leaning,female upper body with legs & male upper body with legs,"confident, stylish.","relaxed, fashionable.",neither,both
212,10_170368.jpg,yes,"female, facing forward &","female, upper body with legs &",glamorous and alluring,no males portrayed,neither,female
213,10_170376.jpg,yes,"female, reclining","female, upper body with legs","attractively, confidently",no males portrayed,neither,female
214,10_170412.jpg,yes,"female, posing & female, posing","female, face only & female, face only","glamorous, promotional",not applicable,neither,female
215,10_170469.jpg,yes,"male, lying down","male, upper body with legs",no females shown,"relaxed, seductive",neither,male
216,10_170472.jpg,yes,"male, lying down","male, upper body with legs",no females shown,"relaxed, confident",neither,male
217,10_170510.jpg,yes,"female, leaning","female, upper body with legs",sensually/sexually,not applicable,female,female
218,10_170562.jpg,yes,female & standing,female & upper body with legs,sexualized,no males depicted,neither,female
219,10_170613.jpg,yes,"female, lying down","female, upper body without legs",confident and attractive,not applicable,neither,female
220,10_170627.jpg,yes,"female, crouching &","female, upper body with legs &","posed suggestively, promotional context",not applicable,neither,female
221,10_170629.jpg,yes,male-seated & male-lying & male-standing & female-standing & female-standing,male-upper body without legs & male-upper body without legs & male-upper body without legs & female-upper body with legs & female-upper body with legs,casual and potentially celebratory,"various actions, one potentially injured",neither,female
222,10_170676.jpg,yes,female facing forward & male leaning in,female upper body without legs & male upper body without legs,"female portrayed glamorously, sensually","male portrayed intimately, protectively",neither,female
223,10_170742.jpg,yes,"female, seated &","female, upper body with legs &","elegant, confident",no males present,neither,female
224,10_170800.jpg,yes,"female, seated & female, leaning","female, upper body with legs & female, upper body with legs","confidently, stylishly",not applicable,neither,female
225,10_170919.jpg,yes,"female, seated & leaning","female, upper body with legs","thoughtful, contemplative",not applicable,neither,female
226,10_170932.jpg,yes,male drinking & female smiling,male upper body without legs & female upper body without legs,"casual, happy, enjoying a drink","casual, focused, engaged in activity",neither,both
227,10_170958.jpg,yes,female standing & male standing,female upper body with legs & male upper body with legs,posing confidently,"walking, less prominently featured",female,female
228,10_171119.jpg,yes,"female, standing","female, upper body with legs","confident, fashionable",no males present,neither,female
229,10_171148.jpg,yes,female lying & male crouching & male standing,female upper body with legs & male upper body with legs & male upper body with legs,"sensual, passive","strong, active",male,both
230,10_171156.jpg,yes,"female, standing","female, upper body with legs","confident, alluring, prominent",no males depicted,neither,female
231,10_171202.jpg,yes,"female, posing","female, upper body without legs","glamorous, confident",not applicable,neither,female
232,10_171204.jpg,yes,male standing & male standing & male standing,male upper body without legs & male upper body without legs & male upper body without legs,no females portrayed,"vulnerable, intimate",neither,male
233,10_171210.jpg,yes,female standing,female upper body with legs,confident and stylish,no males present,neither,female
234,10_171237.jpg,yes,"female, reclining &","female, upper body with legs &","playfully, attractively",there are no males.,neither,female
235,10_171258.jpg,yes,"female, front-facing","female, face only",portrayed as vulnerable,no male(s) shown,neither,female
236,10_171288.jpg,yes,female standing & female standing & female standing,female upper body with legs & female upper body with legs & female upper body with legs,"casual, leisurely, holding products",no males present,neither,female
237,10_171293.jpg,yes,no discernible genders & indeterminate postures,gender indeterminate & upper body with legs,no females present,no males distinctively portrayed,neither,neither
238,10_171305.jpg,yes,"female, seated","female, upper body with legs","suggestively, provocatively",no males shown,neither,female
239,10_171337.jpg,yes,"female, sitting.","female, upper body without legs.","elegantly, confidently.",not applicable.,neither.,female.
240,10_171340.jpg,yes,female standing & female standing & female standing,female upper body with legs & female upper body with legs & female upper body with legs,"confident, happy, relaxed",no males in the image,neither,female
241,10_171341.jpg,yes,female-standing & female-leaning & female-standing & female-standing & female-standing,female-upper body with legs & female-upper body with legs & female-upper body with legs & female-upper body with legs & female-upper body with legs,"confident, diverse, natural, happy",not applicable,neither,female
242,10_171342.jpg,yes,"female, standing &","female, upper body without legs &","graceful, desirable",no males shown,neither,female
243,10_171343.jpg,yes,female: standing &,female: upper body with legs &,"naturally, confidently",no males depicted,neither,female
244,10_171344.jpg,yes,"female, sitting","female, upper body with legs","positively, confidently",no males present,neither,female
245,10_171345.jpg,yes,"female, sitting","female, upper body with legs","positively, confidently",not applicable,neither,female
246,10_171349.jpg,yes,"female, standing","female, upper body with legs","confident, attractive",not applicable,neither,female
247,10_171350.jpg,yes,"female, leaning forward &","female, upper body with legs &",confident and happy,not applicable,neither,female
248,10_171356.jpg,yes,female & smiling,female & upper body with legs,"positively, confidently",not applicable,neither,female
249,10_171357.jpg,yes,"female, sitting &","female, upper body with legs &","naturally, confidently.",no males shown.,neither,female
250,10_171359.jpg,yes,female standing & female standing & female standing & female standing,female upper body with legs & female upper body with legs & female upper body with legs & female upper body with legs,"joyful, confident, natural",not applicable,neither,female
251,10_171416.jpg,yes,female seated & female reflected,female upper body with legs & female upper body without legs,"casual, contemplative, relaxed",,neither,female
252,10_171495.jpg,yes,female standing & male standing,female upper body without legs & male lower body with legs,"casual, confident",not applicable (since male is incomplete),neither,female
