Year,movieID,Actor_ID,Ethnicity,order,dob,age
1944,tt0036600,nm0289376,6,7,1905,39
1944,tt0036600,nm0007214,6,8,1909,35
1944,tt0036600,nm0711566,4,9,1890,54
1944,tt0036600,nm0269709,4,10,1905,39
1944,tt0036600,nm0057574,6,12,1905,39
1944,tt0036600,nm0448366,6,15,1885,59
1944,tt0036600,nm0017578,4,16,1882,62
1944,tt0036600,nm0036324,4,17,1895,49
1944,tt0036600,nm0038663,6,18,1884,60
1944,tt0036599,nm0000042,6,1,1913,31
1944,tt0036599,nm0949835,6,2,1913,31
1944,tt0036599,nm0001333,6,3,1917,27
1944,tt0036599,nm0837959,6,4,1912,32
1944,tt0036599,nm0094135,6,5,1889,55
1944,tt0036599,nm0445523,6,6,1890,54
1944,tt0036599,nm0593372,6,7,1874,70
1944,tt0036599,nm0532997,6,8,1913,31
1944,tt0036599,nm0053354,4,9,1894,50
1944,tt0036599,nm0060876,6,10,1935,9
1944,tt0036599,nm0103249,6,12,1869,75
1944,tt0036599,nm0119886,6,13,1899,45
1944,tt0036599,nm0137396,6,14,1885,59
1944,tt0036599,nm0141466,6,15,1936,8
1944,tt0036599,nm0142273,6,16,1916,28
1944,tt0036599,nm0164463,0,17,1893,51
1944,tt0036599,nm0164883,6,18,1910,34
1944,tt0036602,nm0832011,6,1,1879,65
1944,tt0036602,nm0001682,6,2,1920,24
1944,tt0036602,nm0390189,6,3,1893,51
1944,tt0036602,nm0352774,6,4,1898,46
1944,tt0036602,nm0003339,6,5,1890,54
1944,tt0036602,nm0335748,6,6,1923,21
1944,tt0036602,nm0692156,6,7,1922,22
1944,tt0036602,nm0525601,5,8,1904,40
1944,tt0036602,nm0928476,6,10,1922,22
1944,tt0036602,nm0511628,6,11,1903,41
1944,tt0036602,nm0010333,6,12,1908,36
1944,tt0036602,nm0047534,6,13,1886,58
1944,tt0036602,nm0066024,6,14,1903,41
1944,tt0036602,nm1477120,6,16,1911,33
1944,tt0036602,nm0201227,6,17,1876,68
1944,tt0036602,nm0228722,6,18,1923,21
1944,tt0036610,nm0562770,6,1,1895,49
1944,tt0036610,nm0316995,4,2,1892,52
1944,tt0036610,nm0824496,6,3,1907,37
1944,tt0036610,nm0445246,4,4,1899,45
1944,tt0036610,nm0010958,6,5,1885,59
1944,tt0036610,nm0217332,6,6,1924,20
1944,tt0036610,nm0352475,6,7,1893,51
1944,tt0036610,nm0454559,6,8,1895,49
1944,tt0036610,nm0829327,6,9,1935,9
1944,tt0036610,nm0651627,4,10,1884,60
1944,tt0036610,nm0272360,6,11,1888,56
1944,tt0036610,nm0924643,6,13,1908,36
1944,tt0036610,nm0156173,4,15,1888,56
1944,tt0036610,nm0083359,3,16,1887,57
1944,tt0036610,nm0253140,4,17,1898,46
1944,tt0036610,nm0254834,6,18,1897,47
1944,tt0036611,nm0461618,6,1,1917,27
1944,tt0036611,nm0708081,6,2,1889,55
1944,tt0036611,nm0448722,6,4,1916,28
1944,tt0036611,nm0022367,6,5,1904,40
1944,tt0036611,nm0017013,6,6,1903,41
1944,tt0036611,nm0242554,6,9,1896,48
1944,tt0036611,nm0174813,6,10,1884,60
1944,tt0036611,nm0762596,6,11,1899,45
1944,tt0036611,nm0160685,6,12,1906,38
1944,tt0036611,nm0086560,6,15,1910,34
1944,tt0036611,nm0357963,6,18,1887,57
1944,tt0036613,nm0000026,6,1,1904,40
1944,tt0036613,nm0485509,6,2,1915,29
1944,tt0036613,nm0557339,6,3,1896,48
1944,tt0036613,nm0007217,6,4,1910,34
1944,tt0036613,nm0002143,6,5,1886,58
1944,tt0036613,nm0000048,4,6,1904,40
1944,tt0036613,nm0322299,6,7,1882,62
1944,tt0036613,nm0401449,6,8,1877,67
1944,tt0036613,nm0010443,6,9,1873,71
1944,tt0036613,nm0018514,4,10,1897,47
1944,tt0036613,nm0593372,6,11,1874,70
1944,tt0036613,nm0654136,6,13,1902,42
1944,tt0036613,nm0725891,6,14,1909,35
1944,tt0036613,nm0167364,4,16,1891,53
1944,tt0036613,nm0574737,4,18,1865,79
1944,tt0036619,nm0601073,6,1,1920,24
1944,tt0036619,nm0114692,6,2,1914,30
1944,tt0036619,nm0335788,6,3,1869,75
1944,tt0036619,nm0173160,4,4,1904,40
1944,tt0036619,nm0925842,6,5,1890,54
1944,tt0036619,nm0544711,6,8,1923,21
1944,tt0036619,nm0914246,6,9,1887,57
1944,tt0036619,nm0878826,6,10,1888,56
1944,tt0036619,nm0003224,6,11,1891,53
1944,tt0036619,nm0199268,3,17,1922,22
1944,tt0036619,nm0048252,6,18,1893,51
1944,tt0036623,nm0001955,6,1,1928,16
1944,tt0036623,nm0752787,6,2,1924,20
1944,tt0036623,nm0222596,4,3,1905,39
1944,tt0036623,nm0259816,6,4,1881,63
1944,tt0036623,nm0350374,6,5,1918,26
1944,tt0036623,nm0335510,6,6,1911,33
1944,tt0036623,nm0695863,6,7,1920,24
1944,tt0036623,nm0472557,6,8,1871,73
1944,tt0036623,nm0587804,6,10,1916,28
1944,tt0036623,nm0404649,6,11,1919,25
1944,tt0036623,nm0030783,6,15,1927,17
1944,tt0036623,nm0115470,3,16,1902,42
1944,tt0036623,nm0136988,3,18,1887,57
1944,tt0036625,nm0000891,4,1,1885,59
1944,tt0036625,nm0001931,6,2,1903,41
1944,tt0036625,nm0446101,6,4,1910,34
1944,tt0036625,nm0706261,6,5,1922,22
1944,tt0036625,nm0932629,6,6,1902,42
1944,tt0036625,nm0001935,6,7,1882,62
1944,tt0036625,nm0642180,6,8,1891,53
1944,tt0036625,nm0172615,2,9,1889,55
1944,tt0036625,nm0030194,6,10,1897,47
1944,tt0036625,nm0576083,4,11,1878,66
1944,tt0036625,nm0723935,6,12,1902,42
1944,tt0036625,nm0122834,6,14,1881,63
1944,tt0036625,nm0403636,6,15,1888,56
1944,tt0036625,nm0453081,6,16,1891,53
1944,tt0036625,nm0064792,0,18,1902,42
1944,tt0036628,nm0930565,6,2,1921,23
1944,tt0036628,nm0001651,6,3,1892,52
1944,tt0036628,nm0329433,6,4,1910,34
1944,tt0036628,nm0692156,6,5,1922,22
1944,tt0036628,nm0117194,6,6,1888,56
1944,tt0036628,nm0709210,6,7,1916,28
1944,tt0036628,nm0808179,6,8,1902,42
1944,tt0036628,nm0739123,6,10,1919,25
1944,tt0036628,nm0286645,6,12,1917,27
1944,tt0036628,nm0576083,4,13,1878,66
1944,tt0036628,nm0198526,6,14,1918,26
1944,tt0036628,nm0682560,6,15,1875,69
1944,tt0036628,nm0168459,6,16,1890,54
1944,tt0036628,nm0241669,6,17,1882,62
1944,tt0036628,nm0914044,6,18,1916,28
1944,tt0036633,nm0204843,6,1,1912,32
1944,tt0036633,nm0292471,6,2,1915,29
1944,tt0036633,nm0399192,6,3,1914,30
1944,tt0036633,nm0164133,6,4,1924,20
1944,tt0036633,nm0247702,6,7,1934,10
1944,tt0036633,nm0288304,4,8,1899,45
1944,tt0036633,nm0852362,6,10,1888,56
1944,tt0036633,nm0936729,6,11,1896,48
1944,tt0036633,nm0253141,6,12,1904,40
1944,tt0036633,nm0354916,6,13,1888,56
1944,tt0036633,nm0227117,4,14,1891,53
1944,tt0036636,nm0000068,6,1,1898,46
1944,tt0036636,nm0497346,6,2,1911,33
1944,tt0036636,nm0794918,6,3,1916,28
1944,tt0036636,nm0122589,6,4,1890,54
1944,tt0036636,nm0935415,6,5,1884,60
1944,tt0036636,nm0550777,6,6,1917,27
1944,tt0036636,nm0035877,6,8,1890,54
1944,tt0036636,nm0060904,6,9,1888,56
1944,tt0036636,nm0453081,6,10,1891,53
1944,tt0036636,nm0571085,6,11,1915,29
1944,tt0036636,nm0276132,3,12,1875,69
1944,tt0036636,nm0010333,6,14,1908,36
1944,tt0036636,nm0068235,6,18,1892,52
1944,tt0036637,nm0515292,6,1,1904,40
1944,tt0036637,nm0122470,6,2,1911,33
1944,tt0036637,nm0418490,6,4,1885,59
1944,tt0036637,nm0163417,6,5,1889,55
1944,tt0036637,nm0833734,6,7,1930,14
1944,tt0036637,nm0556813,6,8,1903,41
1944,tt0036637,nm0242010,6,9,1902,42
1944,tt0036637,nm0233528,4,10,1898,46
1944,tt0036637,nm0311274,6,12,1898,46
1944,tt0036637,nm0118771,4,13,1893,51
1944,tt0036637,nm0124560,6,14,1891,53
1944,tt0036637,nm0139356,6,15,1875,69
1944,tt0036637,nm0146886,4,16,1885,59
1944,tt0036637,nm0236445,6,17,1915,29
1944,tt0036637,nm0352368,4,18,1899,45
1944,tt0036638,nm0288003,6,1,1900,44
1944,tt0036638,nm0751946,6,2,1917,27
1944,tt0036638,nm0125325,6,3,1896,48
1944,tt0036638,nm0721748,6,4,1914,30
1944,tt0036638,nm0397361,6,5,1910,34
1944,tt0036638,nm0485518,6,6,1899,45
1944,tt0036638,nm0237708,6,7,1900,44
1944,tt0036638,nm0253141,6,8,1904,40
1944,tt0036638,nm0902226,6,9,1893,51
1944,tt0036638,nm0914246,6,10,1887,57
1944,tt0036638,nm0730165,6,11,1892,52
1944,tt0036638,nm0725122,6,12,1906,38
1944,tt0036638,nm0398250,6,13,1886,58
1944,tt0036638,nm0141651,3,15,1906,38
1944,tt0036638,nm0167364,4,17,1891,53
1944,tt0036641,nm0002092,6,1,1913,31
1944,tt0036641,nm0002134,6,2,1908,36
1944,tt0036641,nm0002113,4,3,1879,65
1944,tt0036641,nm0662223,6,4,1922,22
1944,tt0036641,nm0350324,6,5,1877,67
1944,tt0036641,nm0864869,3,6,1901,43
1944,tt0036641,nm0183459,4,7,1903,41
1944,tt0036641,nm0256207,6,8,1917,27
1944,tt0036641,nm0021329,6,9,1880,64
1944,tt0036641,nm0454651,6,10,1897,47
1944,tt0036641,nm0255695,6,11,1893,51
1944,tt0036641,nm0256298,6,12,1875,69
1944,tt0036641,nm0560091,6,13,1900,44
1944,tt0036641,nm0641868,6,14,1909,35
1944,tt0036642,nm0035159,6,1,1899,45
1944,tt0036642,nm0515292,6,2,1904,40
1944,tt0036642,nm0292471,6,3,1915,29
1944,tt0036642,nm0371025,6,4,1885,59
1944,tt0036642,nm0731376,6,5,1922,22
1944,tt0036642,nm0237985,6,6,1937,7
1944,tt0036642,nm0449858,6,7,1884,60
1944,tt0036642,nm0801193,6,8,1880,64
1944,tt0036642,nm0717046,6,9,1875,69
1944,tt0036642,nm0382716,0,10,1932,12
1944,tt0036642,nm0393427,5,11,1936,8
1944,tt0036642,nm0054117,6,12,1902,42
1944,tt0036642,nm0463249,6,13,1911,33
1944,tt0036642,nm0354977,6,14,1919,25
1944,tt0036642,nm0118771,4,16,1893,51
1944,tt0036642,nm0122590,6,17,1884,60
1944,tt0036705,nm0866010,3,1,1874,70
1944,tt0036705,nm0603646,0,2,1902,42
1944,tt0036705,nm0150892,1,3,1925,19
1944,tt0036705,nm0003277,6,4,1883,61
1944,tt0036705,nm0223190,6,6,1912,32
1944,tt0036705,nm0908403,6,7,1907,37
1944,tt0036705,nm0676635,6,8,1902,42
1944,tt0036705,nm0418490,6,9,1885,59
1944,tt0036705,nm0247305,6,10,1882,62
1944,tt0036705,nm0217303,6,11,1909,35
1944,tt0036705,nm0330147,6,14,1893,51
1944,tt0036705,nm0606256,6,16,1871,73
1944,tt0036648,nm0535169,6,2,1914,30
1944,tt0036648,nm0662972,6,3,1914,30
1944,tt0036648,nm0060931,6,4,1918,26
1944,tt0036648,nm0354947,4,5,1891,53
1944,tt0036648,nm0010958,6,7,1885,59
1944,tt0036648,nm0054253,6,9,1902,42
1944,tt0036648,nm0107589,6,11,1897,47
1944,tt0036648,nm0193318,6,12,1902,42
1944,tt0036648,nm0357764,6,17,1903,41
1944,tt0036650,nm0329832,6,1,1917,27
1944,tt0036650,nm0355653,0,2,1920,24
1944,tt0036650,nm0217316,6,3,1919,25
1944,tt0036650,nm0070827,6,4,1917,27
1944,tt0036650,nm0001935,6,9,1882,62
1944,tt0036650,nm0003377,6,10,1884,60
1944,tt0036650,nm0881832,6,11,1894,50
1944,tt0036650,nm0329831,6,13,1923,21
1944,tt0036650,nm0329827,4,15,1886,58
1944,tt0036651,nm0233856,6,1,1901,43
1944,tt0036651,nm0000802,6,2,1906,38
1944,tt0036651,nm0107795,4,3,1892,52
1944,tt0036651,nm0002108,6,4,1923,21
1944,tt0036651,nm0860471,6,5,1925,19
1944,tt0036651,nm0092290,4,6,1901,43
1944,tt0036651,nm0728230,6,7,1888,56
1944,tt0036651,nm0085880,6,9,1913,31
1944,tt0036651,nm0002025,6,10,1911,33
1944,tt0036651,nm0001257,6,11,1922,22
1944,tt0036651,nm0365039,4,13,1877,67
1944,tt0036651,nm0642993,6,15,1897,47
1944,tt0036653,nm0662335,6,2,1915,29
1944,tt0036653,nm0039989,6,3,1897,47
1944,tt0036653,nm0836724,6,4,1883,61
1944,tt0036653,nm0317050,6,6,1922,22
1944,tt0036653,nm0464137,6,8,1874,70
1944,tt0036653,nm0528677,4,9,1897,47
1944,tt0036653,nm0012441,6,10,1912,32
1944,tt0036653,nm0179591,6,14,1891,53
1944,tt0036653,nm0201227,6,15,1876,68
1944,tt0036653,nm0283170,6,16,1898,46
1944,tt0036653,nm0286665,6,17,1894,50
1944,tt0036667,nm0329832,6,1,1917,27
1944,tt0036667,nm0355653,0,2,1920,24
1944,tt0036667,nm0070827,6,3,1917,27
1944,tt0036667,nm0429853,6,4,1923,21
1944,tt0036667,nm0217316,6,5,1919,25
1944,tt0036667,nm0925509,6,6,1910,34
1944,tt0036667,nm0107574,6,7,1899,45
1944,tt0036667,nm0445246,4,8,1899,45
1944,tt0036667,nm0418490,6,9,1885,59
1944,tt0036667,nm0447043,6,10,1884,60
1944,tt0036667,nm0643048,6,13,1890,54
1944,tt0036667,nm0285643,6,18,1881,63
1944,tt0036668,nm0599688,6,1,1912,32
1944,tt0036668,nm0642988,6,2,1903,41
1944,tt0036668,nm0288078,6,3,1924,20
1944,tt0036668,nm0001947,3,4,1922,22
1944,tt0036668,nm0001955,6,5,1928,16
1944,tt0036668,nm0007219,6,6,1901,43
1944,tt0036668,nm0020145,6,7,1920,24
1944,tt0036668,nm0570451,6,8,1898,46
1944,tt0036668,nm0213619,6,9,1910,34
1944,tt0036668,nm0140504,4,10,1881,63
1944,tt0036668,nm0222596,4,11,1905,39
1944,tt0036668,nm0030166,6,12,1918,26
1944,tt0036668,nm0327089,4,13,1905,39
1944,tt0036668,nm0485518,6,14,1899,45
1944,tt0036668,nm0230948,6,15,1908,36
1944,tt0036668,nm0603646,0,16,1902,42
1944,tt0036668,nm0141479,0,17,1911,33
1944,tt0036668,nm0248291,6,18,1875,69
1944,tt0036669,nm0639495,6,1,1912,32
1944,tt0036669,nm0929116,6,3,1899,45
1944,tt0036669,nm0355551,6,4,1923,21
1944,tt0036669,nm0427157,6,5,1900,44
1944,tt0036669,nm0454559,6,6,1895,49
1944,tt0036669,nm0398139,6,7,1900,44
1944,tt0036669,nm0124560,6,8,1891,53
1944,tt0036669,nm0352475,6,9,1893,51
1944,tt0036669,nm0562771,6,10,1897,47
1944,tt0036669,nm0144185,6,11,1893,51
1944,tt0036669,nm0068235,6,12,1892,52
1944,tt0036669,nm0143806,3,13,1918,26
1944,tt0036669,nm0146886,4,14,1885,59
1944,tt0036669,nm0262846,6,15,1893,51
1944,tt0036669,nm0922385,3,18,1903,41
1944,tt0036670,nm0350268,6,1,1908,36
1944,tt0036670,nm0115597,6,2,1910,34
1944,tt0036670,nm0002143,6,3,1886,58
1944,tt0036670,nm0515292,6,4,1904,40
1944,tt0036670,nm0892703,6,5,1906,38
1944,tt0036670,nm0948451,6,6,1908,36
1944,tt0036670,nm0093769,6,7,1895,49
1944,tt0036670,nm0485518,6,8,1899,45
1944,tt0036670,nm0700084,6,9,1892,52
1944,tt0036670,nm0001678,6,15,1911,33
1944,tt0036670,nm1022326,6,16,1934,10
1944,tt0036671,nm0550701,4,1,1909,35
1944,tt0036671,nm0206478,6,2,1920,24
1944,tt0036671,nm0402554,6,3,1917,27
1944,tt0036671,nm0430870,6,4,1901,43
1944,tt0036671,nm0118000,6,5,1903,41
1944,tt0036671,nm0820409,6,6,1916,28
1944,tt0036671,nm0186172,6,7,1918,26
1944,tt0036671,nm0692796,6,8,1901,43
1944,tt0036671,nm0249847,6,9,1914,30
1944,tt0036671,nm0309607,6,10,1926,18
1944,tt0036671,nm0838843,4,11,1892,52
1944,tt0036671,nm0587534,6,12,1892,52
1944,tt0036671,nm0010333,6,13,1908,36
1944,tt0036671,nm1332365,6,14,1913,31
1944,tt0036671,nm0089702,3,15,1889,55
1944,tt0036671,nm0137393,6,16,1913,31
1944,tt0036671,nm0151370,6,17,1898,46
1944,tt0036672,nm0054609,6,1,1919,25
1944,tt0036672,nm0848667,6,2,1899,45
1944,tt0036672,nm0496473,6,3,1899,45
1944,tt0036672,nm0623417,6,4,1879,65
1944,tt0036672,nm0129894,6,5,1895,49
1944,tt0036672,nm0940579,6,6,1906,38
1944,tt0036672,nm0951063,6,7,1887,57
1944,tt0036672,nm0521156,6,9,1926,18
1944,tt0036672,nm0242562,6,10,1874,70
1944,tt0036672,nm0080867,6,11,1909,35
1944,tt0036672,nm0041669,6,13,1880,64
1944,tt0036672,nm0063915,0,14,1925,19
1944,tt0036672,nm0102718,6,15,1877,67
1944,tt0036672,nm0108260,6,16,1918,26
1944,tt0036672,nm0283170,6,18,1898,46
1944,tt0036673,nm0614278,6,1,1902,42
1944,tt0036673,nm0799963,6,2,1913,31
1944,tt0036673,nm0935415,6,3,1884,60
1944,tt0036673,nm0002038,6,4,1925,19
1944,tt0036673,nm0908055,6,5,1922,22
1944,tt0036673,nm0089478,6,6,1901,43
1944,tt0036673,nm0395043,6,7,1917,27
1944,tt0036673,nm0026655,0,8,1905,39
1944,tt0036673,nm0779220,0,9,1920,24
1944,tt0036673,nm0101073,6,10,1923,21
1944,tt0036673,nm0556823,4,15,1888,56
1944,tt0036673,nm0914044,6,16,1916,28
1944,tt0036673,nm0234186,6,18,1905,39
1944,tt0036677,nm0000058,6,2,1920,24
1944,tt0036677,nm0001105,6,3,1923,21
1944,tt0036677,nm0593775,6,4,1892,52
1944,tt0036677,nm0118000,6,5,1903,41
1944,tt0036677,nm0000063,6,6,1915,29
1944,tt0036677,nm0647752,6,7,1889,55
1944,tt0036677,nm2916826,6,8,1906,38
1944,tt0036677,nm0109063,6,9,1883,61
1944,tt0036677,nm0504353,6,10,1875,69
1944,tt0036677,nm0650995,4,11,1880,64
1944,tt0036677,nm0043849,6,13,1881,63
1944,tt0036677,nm0080930,6,15,1886,58
1944,tt0036677,nm0085782,2,16,1895,49
1944,tt0036677,nm0088285,6,17,1894,50
1944,tt0036677,nm4185833,6,18,1889,55
1944,tt0036688,nm0179875,6,1,1914,30
1944,tt0036688,nm0124139,6,2,1907,37
1944,tt0036688,nm0217303,6,3,1909,35
1944,tt0036688,nm0203383,6,4,1886,58
1944,tt0036688,nm0785304,6,5,1895,49
1944,tt0036688,nm0427157,6,6,1900,44
1944,tt0036688,nm0151356,6,7,1894,50
1944,tt0036688,nm0083359,3,10,1887,57
1944,tt0036688,nm0798855,5,13,1912,32
1944,tt0036688,nm0888349,4,14,1904,40
1944,tt0036689,nm0122470,6,1,1911,33
1944,tt0036689,nm0141330,6,2,1920,24
1944,tt0036689,nm0940617,6,3,1889,55
1944,tt0036689,nm0001906,6,4,1910,34
1944,tt0036689,nm0355551,6,5,1923,21
1944,tt0036689,nm0418490,6,6,1885,59
1944,tt0036689,nm0163417,6,9,1889,55
1944,tt0036689,nm0167760,6,11,1892,52
1944,tt0036689,nm1093828,6,13,1901,43
1944,tt0036689,nm0118771,4,15,1893,51
1944,tt0036689,nm0122590,6,16,1884,60
1944,tt0036689,nm0139356,6,17,1875,69
1944,tt0036690,nm0485226,6,2,1909,35
1944,tt0036690,nm0378026,6,3,1914,30
1944,tt0036690,nm0054117,6,4,1902,42
1944,tt0036690,nm0894734,6,5,1905,39
1944,tt0036690,nm0544711,6,6,1923,21
1944,tt0036690,nm0719121,6,7,1904,40
1944,tt0036690,nm0418490,6,8,1885,59
1944,tt0036690,nm0699703,3,12,1905,39
1944,tt0036690,nm0124560,6,13,1891,53
1944,tt0036690,nm0212869,6,15,1922,22
1944,tt0036690,nm0365039,4,17,1877,67
1944,tt0036690,nm0689737,6,18,1875,69
1944,tt0036692,nm0002052,6,1,1921,23
1944,tt0036692,nm0656745,6,2,1910,34
1944,tt0036692,nm0848667,6,3,1899,45
1944,tt0036692,nm0115452,6,4,1916,28
1944,tt0036692,nm0455893,6,5,1903,41
1944,tt0036692,nm0898687,6,6,1920,24
1944,tt0036692,nm0172615,2,7,1889,55
1944,tt0036692,nm0866558,6,8,1885,59
1944,tt0036692,nm0327089,4,9,1905,39
1944,tt0036692,nm0087404,6,10,1876,68
1944,tt0036692,nm0398250,6,11,1886,58
1944,tt0036692,nm0166477,6,12,1885,59
1944,tt0036692,nm0010333,6,14,1908,36
1944,tt0036692,nm0030516,6,16,1922,22
1944,tt0036692,nm0040090,6,17,1887,57
1944,tt0036692,nm0040374,6,18,1895,49
1944,tt0036696,nm0001452,6,1,1899,45
1944,tt0036696,nm0001870,6,2,1907,37
1944,tt0036696,nm0639684,6,3,1937,7
1944,tt0036696,nm0307326,6,4,1905,39
1944,tt0036696,nm0654239,6,5,1887,57
1944,tt0036696,nm0706533,6,6,1905,39
1944,tt0036696,nm0640547,6,7,1880,64
1944,tt0036696,nm0835681,6,8,1897,47
1944,tt0036696,nm0728230,6,9,1888,56
1944,tt0036696,nm0269709,4,10,1905,39
1944,tt0036696,nm0362815,6,11,1875,69
1944,tt0036696,nm0563417,3,12,1907,37
1944,tt0036696,nm0186172,6,15,1918,26
1944,tt0036696,nm0849586,6,16,1911,33
1944,tt0036696,nm0492444,6,17,1923,21
1944,tt0035714,nm0486387,6,1,1913,31
1944,tt0035714,nm0635798,6,2,1911,33
1944,tt0035714,nm0012441,6,3,1912,32
