actorid,dob,name,first_name,gender
nm0822792,"december 21, 1884",Paul Stanton,Paul,male
nm0086830,"august 21, 1894",Olive Blakeney,Olive,female
nm0840316,"april 5, 1906",Grady Sutton,Grady,male
nm0203527,"june 16, 1888",William B. Davidson,William,male
nm0357963,"january 16, 1887",John Hamilton,John,male
nm0151370,"june 30, 1898",George Chandler,George,male
nm0398250,"february 10, 1886",Olin Howland,Olin,male
nm0825549,"january 12, 1894",Lotte Stein,Lotte,female
nm0390676,"september 20, 1895",Edna Holland,Edna,female
nm0225414,"november 27, 1906",Dudley Dickerson,Dudley,male
nm0002046,"february 9, 1901",Brian Donlevy,Brian,male
nm0723954,"december 13, 1917",Ann Richards,Ann,female
nm0008496,"june 6, 1898",Walter Abel,Walter,male
nm0702798,"december 8, 1899",John Qualen,John,male
nm0573640,"july 29, 1911",Stephen McNally,Stephen,male
nm0572839,"august 26, 1918",Mary McLeod,Mary,female
nm0523081,"june 30, 1922",Bob Lowell,Bob,male
nm0017578,"september 11, 1882",Erville Alderson,Erville,male
nm0026388,"december 11, 1929",Axel Anderson,Axel,male
nm0007215,"november 7, 1879",King Baggot,King,male
nm0060876,"january 15, 1935",Charles Bates,Charles,male
nm0066024,"july 19, 1903",Barbara Bedford,Barbara,female
nm0067583,"may 14, 1888",Arthur Belasco,Arthur,male
nm0067589,"october 11, 1902",Leon Belasco,Leon,male
nm0077466,"august 25, 1881",Art Berry Sr.,Art,male
nm2268974,"december 15, 1922",Anna Marie Biggs,Anna,female
nm0483787,"december 10, 1914",Dorothy Lamour,Dorothy,female
nm0534045,"august 30, 1908",Fred MacMurray,Fred,male
nm0002149,"february 26, 1921",Betty Hutton,Betty,female
nm0528658,"july 5, 1926",Diana Lynn,Diana,female
nm0151438,"october 15, 1926",Mimi Chandler,Mimi,female
nm0906940,"september 9, 1887",Raymond Walburn,Raymond,male
nm0289376,"february 4, 1905",Eddie Foy Jr.,Eddie,male
nm0007214,"february 2, 1909",Frank Albertson,Frank,male
nm0711566,"may 13, 1890",Mikhail Rasumny,Mikhail,male
nm0570974,"april 15, 1884",George McKay,George,male
nm0057574,"november 24, 1905",Harry Barris,Harry,male
nm0449676,"august 5, 1891",Donald Kerr,Donald,male
nm0490951,"october 11, 1904",Perc Launders,Perc,male
nm0448366,"july 15, 1885",Tom Kennedy,Tom,male
nm0036324,"december 27, 1895",Sig Arno,Sig,male
nm0038663,"august 28, 1884",Sam Ash,Sam,male
nm0000042,"september 3, 1913",Alan Ladd,Alan,male
nm0949835,"january 6, 1913",Loretta Young,Loretta,female
nm0001333,"june 30, 1917",Susan Hayward,Susan,female
nm0837959,"august 29, 1912",Barry Sullivan,Barry,male
nm0094135,"may 3, 1889",Beulah Bondi,Beulah,female
nm0445523,"august 27, 1890",Cecil Kellaway,Cecil,male
nm0593372,"june 17, 1874",Grant Mitchell,Grant,male
nm0532997,"november 13, 1913",Helen Mack,Helen,female
nm0053354,"december 18, 1894",Bobby Barber,Bobby,male
nm0083126,"january 30, 1931",Conrad Binyon,Conrad,male
nm0103249,"april 15, 1869",Harry C. Bradley,Harry,male
nm0119886,"march 22, 1899",Leo Bulgakov,Leo,male
nm0137396,"october 28, 1885",George M. Carleton,George,male
nm0141466,"june 16, 1936",Ann Carter,Ann,female
nm0142273,"april 7, 1916",Anthony Caruso,Anthony,male
nm0164463,"february 7, 1893",Russ Clark,Russ,male
nm0164883,"august 16, 1910",Mae Clarke,Mae,female
nm0832011,"november 15, 1879",Lewis Stone,Lewis,male
nm0001682,"september 23, 1920",Mickey Rooney,Mickey,male
nm0390189,"september 26, 1893",Fay Holden,Fay,female
nm0352774,"november 17, 1898",Sara Haden,Sara,female
nm0003339,"may 23, 1890",Herbert Marshall,Herbert,male
nm0335748,"february 2, 1923",Bonita Granville,Bonita,female
nm0692156,"december 8, 1922",Jean Porter,Jean,female
nm0525601,"june 18, 1904",Keye Luke,Keye,male
nm0928469,"october 10, 1922",Lee Wilde,Lee,male
nm0928476,"october 10, 1922",Lyn Wilde,Lyn,female
nm0511628,"october 24, 1903",Marta Linden,Marta,female
nm0010333,"june 3, 1908",Eddie Acuff,Eddie,male
nm0047534,"september 26, 1886",William Bailey,William,male
nm0163785,"june 10, 1889",Cliff Clark,Cliff,male
nm1477120,"october 4, 1911",Ruth Clark,Ruth,female
nm0201227,"march 18, 1876",Frank Darien,Frank,male
nm0228722,"december 6, 1923",Tommy Dix,Tommy,male
nm0562770,"july 21, 1895",Ken Maynard,Ken,male
nm0316995,"august 6, 1892",Hoot Gibson,Hoot,male
nm0824496,"january 23, 1907",Bob Steele,Bob,male
nm0445246,"february 27, 1899",Ian Keith,Ian,male
nm0217332,"march 5, 1924",Myrna Dell,Myrna,female
nm0352475,"september 5, 1893",Karl Hackett,Karl,male
nm0454559,"february 21, 1895",Charles King,Charles,male
nm0829327,"november 14, 1935",Don Stewart,Don,male
nm0651627,"july 20, 1884",Bud Osborne,Bud,male
nm0272360,"april 19, 1888",Al Ferguson,Al,male
nm0108756,"october 24, 1888",John Bridges,John,male
nm0924643,"march 25, 1908",Dan White,Dan,male
nm0156173,"july 29, 1888",George Chesebro,George,male
nm0083359,"february 20, 1887",Chris Willow Bird,Chris,male
nm0253140,"september 10, 1898",George Eldredge,George,male
nm0254834,"february 26, 1897",Frank Ellis,Frank,male
nm0461618,"december 14, 1917",Elyse Knox,Elyse,female
nm0708081,"july 15, 1889",Marjorie Rambeau,Marjorie,female
nm0885150,"september 24, 1919",Rick Vallin,Rick,male
nm0448722,"june 6, 1916",Dorothea Kent,Dorothea,female
nm0022367,"january 11, 1904",Murray Alper,Murray,male
nm0017013,"december 16, 1903",Hardie Albright,Hardie,male
nm0114004,"january 20, 1932",Kenneth Brown,Kenneth,male
nm0501886,"december 14, 1930",Billy Lenhart,Billy,male
nm0242554,"march 31, 1896",Eddie Dunn,Eddie,male
nm0762596,"may 21, 1899",Ralph Sanford,Ralph,male
nm0160685,"may 26, 1906",Dorothy Christy,Dorothy,female
nm0912991,"february 12, 1915",Phil Warren,Phil,male
nm0086560,"january 12, 1910",Gladys Blake,Gladys,female
nm0000026,"january 18, 1904",Cary Grant,Cary,male
nm0485509,"june 12, 1915",Priscilla Lane,Priscilla,female
nm0557339,"august 30, 1896",Raymond Massey,Raymond,male
nm0007217,"october 27, 1910",Jack Carson,Jack,male
nm0002143,"march 18, 1886",Edward Everett Horton,Edward,male
nm0000048,"june 26, 1904",Peter Lorre,Peter,male
nm0322299,"may 23, 1882",James Gleason,James,male
nm0401449,"january 3, 1877",Josephine Hull,Josephine,female
nm0010443,"june 13, 1873",Jean Adair,Jean,female
nm0018514,"november 29, 1897",John Alexander,John,male
nm0573679,"august 14, 1884",Edward McNamara,Edward,male
nm0654136,"february 18, 1902",Garry Owen,Garry,male
nm0725891,"september 6, 1909",John Ridgely,John,male
nm0321863,"november 17, 1872",Vaughan Glaser,Vaughan,male
nm0167364,"february 18, 1891",Chester Clute,Chester,male
nm0485272,"january 26, 1905",Charles Lane,Charles,male
nm0574737,"january 14, 1865",Edward McWade,Edward,male
nm0601073,"january 18, 1920",Constance Moore,Constance,female
nm0114692,"august 18, 1914",Stanley Brown,Stanley,male
nm0335788,"december 20, 1869",Charley Grapewin,Charley,male
nm0173160,"september 17, 1904",Jerry Colonna,Jerry,male
nm0925842,"march 28, 1890",Paul Whiteman,Paul,male
nm0144403,"december 7, 1913",Robert B. Castaine,Robert,male
nm0544711,"april 28, 1923",Adele Mara,Adele,female
nm0914246,"december 29, 1887",Pierre Watkin,Pierre,male
nm0878826,"june 13, 1888",Harry Tyler,Harry,male
nm0003224,"august 28, 1891",Stanley Andrews,Stanley,male
nm0930239,"september 27, 1898",Charles Williams,Charles,male
nm0609342,"june 12, 1912",Daisy Lee Mothershed,Daisy,female
nm0118352,"october 6, 1903",Ford Washington Lee,Ford,male
nm0044864,"february 19, 1902",John W. Bubbles,John,male
nm0199268,"november 9, 1922",Dorothy Dandridge,Dorothy,female
nm0048252,"december 25, 1893",Belle Baker,Belle,female
nm0001955,"august 16, 1928",Ann Blyth,Ann,female
nm0752787,"august 28, 1924",Peggy Ryan,Peggy,female
nm0259816,"july 3, 1881",Leon Errol,Leon,male
nm0350374,"december 10, 1918",Anne Gwynne,Anne,female
nm0335510,"november 24, 1911",Kirby Grant,Kirby,male
nm0695863,"june 26, 1920",June Preisser,June,female
nm0472557,"september 13, 1871",Alma Kruger,Alma,female
nm0587804,"october 22, 1916",Sidney Miller,Sidney,male
nm0404649,"march 10, 1919",Marion Hutton,Marion,female
nm0805134,"august 7, 1910",Freddie Slack,Freddie,male
nm0030783,"june 2, 1927",Jerry Antes,Jerry,male
nm0115470,"october 16, 1902",Eddie Bruce,Eddie,male
nm0136988,"february 25, 1887",Leonard Carey,Leonard,male
nm0000891,"april 1, 1885",Wallace Beery,Wallace,male
nm0001931,"march 25, 1903",Binnie Barnes,Binnie,female
nm0446101,"april 13, 1910",Bruce Kellogg,Bruce,male
nm0706261,"june 16, 1922",Frances Rafferty,Frances,female
nm0932629,"july 18, 1902",Chill Wills,Chill,male
nm0001935,"january 17, 1882",Noah Beery,Noah,male
nm0642180,"august 10, 1891",Henry O'Neill,Henry,male
nm0172615,"december 10, 1889",Ray Collins,Ray,male
nm0030194,"august 28, 1897",Morris Ankrum,Morris,male
nm0576083,"july 14, 1878",Donald Meek,Donald,male
nm0723935,"october 20, 1902",Addison Richards,Addison,male
nm0370743,"november 8, 1882",Harry Hayden,Harry,male
nm0403636,"october 15, 1888",Paul Hurst,Paul,male
nm0453081,"march 6, 1891",Victor Kilian,Victor,male
nm0064792,"march 8, 1902",Louise Beavers,Louise,female
nm0804026,"july 18, 1913",Red Skelton,Red,male
nm0930565,"august 8, 1921",Esther Williams,Esther,female
nm0001651,"june 13, 1892",Basil Rathbone,Basil,male
nm0329433,"july 28, 1910",Bill Goodwin,Bill,male
nm0709210,"august 4, 1916",Carlos Ramírez,Carlos,male
nm0808179,"november 22, 1902",Ethel Smith,Ethel,female
nm0739123,"january 16, 1919",Lina Romay,Lina,female
nm0286645,"april 12, 1917",Helen Forrest,Helen,female
nm0198526,"august 3, 1918",Jacqueline Dalya,Jacqueline,female
nm0682560,"july 15, 1875",Francis Pierlot,Francis,male
nm0168459,"march 5, 1890",Ann Codee,Ann,female
nm0241669,"october 20, 1882",Margaret Dumont,Margaret,female
nm0914044,"september 13, 1916",Bunny Waters,Bunny,female
nm0204843,"june 29, 1912",Joan Davis,Joan,female
nm0292471,"july 18, 1915",Jane Frazee,Jane,female
nm0399192,"april 14, 1914",John Hubbard,John,male
nm0164133,"june 9, 1924",Judy Clark,Judy,female
nm0371374,"march 29, 1923",Bob Haymes,Bob,male
nm0247702,"february 20, 1934",Danny Mummert,Danny,male
nm0288304,"august 27, 1899",Byron Foulger,Byron,male
nm0852362,"march 25, 1888",Ferris Taylor,Ferris,male
nm0936729,"january 20, 1896",Isabel Withers,Isabel,female
nm0253141,"august 30, 1904",John Eldredge,John,male
nm0354916,"july 24, 1888",Grace Hayle,Grace,female
nm0227117,"february 18, 1891",John Dilson,John,male
nm0108424,"january 30, 1928",Gwen Brian,Gwen,female
nm0108413,"july 10, 1923",Betty Brian,Betty,female
nm2514810,"september 13, 1926",Doris Brian,Doris,female
nm0000068,"january 23, 1898",Randolph Scott,Randolph,male
nm0497346,"january 8, 1911",Gypsy Rose Lee,Gypsy,female
nm0794918,"february 29, 1916",Dinah Shore,Dinah,female
nm0122589,"august 2, 1890",Bob Burns,Bob,male
nm0935415,"may 26, 1884",Charles Winninger,Charles,male
nm0550777,"october 12, 1917",William Marshall,William,male
nm0930711,"april 26, 1899",Guinn 'Big Boy' Williams,Guinn,male
nm0060904,"april 15, 1888",Florence Bates,Florence,female
nm0571085,"june 22, 1915",Wanda McKay,Wanda,female
nm0276132,"march 19, 1875",Edward Fielding,Edward,male
nm1944278,"october 23, 1922",Foncilla Adams,Foncilla,
nm0059177,"october 12, 1898",John Barton,John,male
nm0068235,"january 21, 1892",Hank Bell,Hank,male
nm0515292,"december 9, 1904",Robert Livingston,Robert,male
nm0122470,"march 18, 1911",Smiley Burnette,Smiley,male
nm0481960,"july 30, 1888",Effie Laird,Effie,female
nm0418490,"march 16, 1885",Frank Jaquet,Frank,male
nm0163417,"august 24, 1889",Tom London,Tom,male
nm0588059,"june 21, 1878",Charles Miller,Charles,male
nm0833734,"may 18, 1930",Joe Strauch Jr.,Joe,male
nm0556813,"july 2, 1903",LeRoy Mason,LeRoy,male
nm0242010,"february 17, 1902",Kenne Duncan,Kenne,male
nm0233528,"may 20, 1898",Charles Dorety,Charles,male
nm0456480,"february 19, 1895",Jack Kirk,Jack,male
nm0311274,"february 15, 1898",Bud Geary,Bud,male
nm0118771,"august 22, 1893",Roy Bucko,Roy,male
nm0124560,"june 14, 1891",Budd Buster,Budd,male
nm0139356,"january 31, 1875",Horace B. Carpenter,Horace,male
nm0146886,"may 5, 1885",Jess Cavin,Jess,male
nm0236445,"january 1, 1915",Maxine Doyle,Maxine,female
nm0352368,"june 15, 1899",Herman Hack,Herman,male
nm0288003,"august 24, 1900",Preston Foster,Preston,male
nm0751946,"november 2, 1917",Ann Rutherford,Ann,female
nm0125325,"july 26, 1896",Charles Butterworth,Charles,male
nm0721748,"july 8, 1914",Helene Reynolds,Helene,female
nm0397361,"october 13, 1910",Jean Howard,Jean,female
nm0485518,"may 28, 1899",Richard Lane,Richard,male
nm0237708,"august 4, 1900",Roland Drew,Roland,male
nm0902226,"november 5, 1893",Theodore von Eltz,Theodore,male
nm0730165,"december 31, 1892",Jason Robards Sr.,Jason,male
nm0725122,"december 23, 1906",Kane Richmond,Kane,male
nm0106295,"august 15, 1907",Margaret Brayton,Margaret,female
nm0141651,"february 27, 1906",Harry Carter,Harry,male
nm0154947,"april 1, 1894",Jack Chefe,Jack,male
nm0178010,"june 28, 1883",Edward Cooper,Edward,male
nm0002092,"march 4, 1913",John Garfield,John,male
nm0002134,"january 10, 1908",Paul Henreid,Paul,male
nm0002113,"december 27, 1879",Sydney Greenstreet,Sydney,female
nm0662223,"june 26, 1922",Eleanor Parker,Eleanor,female
nm0350324,"september 26, 1877",Edmund Gwenn,Edmund,male
nm0864869,"july 14, 1901",George Tobias,George,male
nm0183459,"october 1, 1903",George Coulouris,George,male
nm0256207,"july 8, 1917",Faye Emerson,Faye,female
nm0021329,"october 30, 1880",Sara Allgood,Sara,female
nm0454651,"november 2, 1897",Dennis King,Dennis,male
nm0255695,"march 16, 1893",Isobel Elsom,Isobel,female
nm0256298,"june 11, 1875",Gilbert Emery,Gilbert,male
nm0560091,"june 6, 1900",Lester Matthews,Lester,male
nm0641868,"april 8, 1909",Patrick O'Moore,Patrick,male
nm0035159,"september 1, 1899",Richard Arlen,Richard,male
nm0371025,"may 7, 1885",George 'Gabby' Hayes,George,male
nm0731376,"november 22, 1922",Lynne Roberts,Lynne,female
nm0237985,"march 3, 1937",Bobby Driscoll,Bobby,male
nm0449858,"december 16, 1884",J.M. Kerrigan,J.M.,male
nm0801193,"june 17, 1880",Russell Simpson,Russell,male
nm0382716,"november 13, 1932",Cordell Hickman,Cordell,male
nm0393427,"august 3, 1936",Hayward Soo Hoo,Hayward,male
nm0054117,"september 7, 1902",Roy Barcroft,Roy,male
nm0463249,"july 8, 1911",Fred Kohler Jr.,Fred,male
nm0354977,"june 8, 1919",Monte Hale,Monte,male
nm0122590,"november 21, 1884",Bob Burns,Bob,male
nm0452128,"march 6, 1882",Guy Kibbee,Guy,male
nm0401478,"january 17, 1903",Warren Hull,Warren,male
nm0515916,"april 3, 1914",Alma Lloyd,Alma,female
nm0285264,"june 18, 1910",Dick Foran,Dick,male
nm0933810,"august 19, 1916",Marie Wilson,Marie,female
nm0109877,"june 11, 1883",Virginia Brissac,Virginia,female
nm0073239,"march 27, 1893",George Beranger,George,male
nm0443891,"march 4, 1883",Robert Emmett Keane,Robert,male
nm0795539,"july 11, 1898",Eddie Shubert,Eddie,male
nm0074040,"march 15, 1912",Constance Bergen,Constance,female
nm0331351,"march 22, 1908",Sol Gorss,Sol,female
nm0366007,"january 1, 1912",Phil Harron,Phil,male
nm0455490,"september 30, 1911",Guy Kingsford,Guy,male
nm0593392,"december 11, 1883",Howard M. Mitchell,Howard,male
nm0766705,"december 18, 1882",Cliff Saum,Cliff,male
nm0866010,"april 28, 1874",Sidney Toler,Sidney,male
nm0603646,"september 3, 1902",Mantan Moreland,Mantan,male
nm0150892,"march 10, 1925",Frances Chan,Frances,female
nm0003277,"july 15, 1883",Joseph Crehan,Joseph,male
nm0079722,"november 9, 1916",Helen Beverley,Helen,female
nm0223190,"september 26, 1912",Jacqueline deWit,Jacqueline,female
nm0908403,"june 24, 1907",Geraldine Wall,Geraldine,female
nm0676635,"august 3, 1902",Ralph Peters,Ralph,male
nm0247305,"july 16, 1882",Edward Earle,Edward,male
nm0217303,"january 10, 1909",Claudia Dell,Claudia,female
nm0220128,"february 22, 1883",Harry Depp,Harry,male
nm0429868,"august 12, 1896",Charles Jordan,Charles,male
nm0330147,"june 21, 1893",Dick Gordon,Dick,male
nm0427845,"february 21, 1910",Darby Jones,Darby,female
nm0606256,"april 10, 1871",George Morrell,George,male
nm0750660,"august 16, 1882",Dick Rush,Dick,male
nm0926051,"october 28, 1899",Crane Whitley,Crane,male
nm0535169,"january 13, 1914",Osa Massen,Osa,male
nm0662972,"december 13, 1914",Larry Parks,Larry,male
nm0060931,"may 21, 1918",Jeanne Bates,Jeanne,female
nm0354947,"march 21, 1891",Jonathan Hale,Jonathan,male
nm0872683,"july 13, 1898",Ivan Triesault,Ivan,male
nm0054253,"november 19, 1902",Trevor Bardette,Trevor,male
nm0091922,"july 4, 1883",Hazel Boyne,Hazel,female
nm0107589,"august 2, 1897",Lynton Brent,Lynton,male
nm0193318,"may 11, 1902",Dick Curtis,Dick,male
nm0258347,"october 1, 1938",John Epper,John,male
nm0264469,"november 21, 1913",Charles H. Faber,Charles,male
nm9056943,"november 27, 1913",John Forrest,John,male
nm0357764,"december 9, 1903",Chuck Hamilton,Chuck,male
nm0329832,"june 3, 1917",Leo Gorcey,Leo,male
nm0355653,"august 15, 1920",Huntz Hall,Huntz,male
nm0217316,"october 8, 1919",Gabriel Dell,Gabriel,male
nm0070827,"april 16, 1917",William 'Billy' Benedict,William,male
nm0696250,"august 13, 1924",Fred Pressel,Fred,male
nm0833258,"december 27, 1922",Jimmy Strand,Jimmy,male
nm0151576,"july 22, 1921",Bill Chaney,Bill,male
nm0003377,"june 15, 1884",Harry Langdon,Harry,male
nm0881832,"september 22, 1894",Minerva Urecal,Minerva,female
nm0329831,"august 29, 1923",Kay Marvis,Kay,female
nm0290342,"november 25, 1888",Tom Herbert,Tom,male
nm0329827,"january 9, 1886",Bernard Gorcey,Bernard,male
nm0634755,"april 23, 1895",Jimmie Noone,Jimmie,male
nm0233856,"september 30, 1901",Philip Dorn,Philip,male
nm0000802,"may 3, 1906",Mary Astor,Mary,female
nm0107795,"march 2, 1892",Felix Bressart,Felix,male
nm0002108,"november 28, 1923",Gloria Grahame,Gloria,female
nm0860471,"november 27, 1925",Marshall Thompson,Marshall,male
nm0092290,"april 5, 1901",Curt Bois,Curt,male
nm0728230,"april 26, 1888",Elisabeth Risdon,Elisabeth,female
nm0909544,"june 15, 1923",Arthur Walsh,Arthur,male
nm0085880,"may 22, 1913",Carlyle Blackwell Jr.,Carlyle,male
nm0002025,"july 18, 1911",Hume Cronyn,Hume,male
nm0001257,"december 24, 1922",Ava Gardner,Ava,female
nm0356107,"august 8, 1892",Sherry Hall,Sherry,female
nm0365039,"january 11, 1877",Sam Harris,Sam,male
nm0453325,"november 3, 1917",Edward Kilroy,Edward,male
nm0642993,"august 21, 1897",Dagmar Oakland,Dagmar,female
nm0704014,"january 22, 1903",Tom Quinn,Tom,male
nm1042208,"february 21, 1899",Paul Scott,Paul,male
nm0662335,"august 11, 1915",Jean Parker,Jean,female
nm0836724,"february 12, 1883",Ludwig Stössel,Ludwig,male
nm0671496,"december 27, 1901",George Pembroke,George,male
nm0814810,"may 18, 1921",Sonia Sorel,Sonia,female
nm0464137,"november 13, 1874",Henry Kolker,Henry,male
nm0528677,"february 14, 1897",Emmett Lynn,Emmett,male
nm0565429,"february 11, 1921",Patti McCarty,Patti,female
nm0283170,"november 23, 1898",Bess Flowers,Bess,female
nm0286665,"november 5, 1894",Mabel Forrest,Mabel,female
