actorid,dob
nm0021329,"october 30, 1880"
nm0454651,"november 2, 1897"
nm0255695,"march 16, 1893"
nm0256298,"june 11, 1875"
nm0560091,"june 6, 1900"
nm0641868,"april 8, 1909"
nm0035159,"september 1, 1899"
nm0371025,"may 7, 1885"
nm0731376,"november 22, 1922"
nm0237985,"march 3, 1937"
nm0449858,"december 16, 1884"
nm0801193,"june 17, 1880"
nm0382716,"november 13, 1932"
nm0393427,"august 3, 1936"
nm0054117,"september 7, 1902"
nm0463249,"july 8, 1911"
nm0354977,"june 8, 1919"
nm0122590,"november 21, 1884"
nm0452128,"march 6, 1882"
nm0401478,"january 17, 1903"
nm0515916,"april 3, 1914"
nm0285264,"june 18, 1910"
nm0933810,"august 19, 1916"
nm0109877,"june 11, 1883"
nm0073239,"march 27, 1893"
nm0443891,"march 4, 1883"
nm0795539,"july 11, 1898"
nm0074040,"march 15, 1912"
nm0331351,"march 22, 1908"
nm0366007,"january 1, 1912"
nm0455490,"september 30, 1911"
nm0593392,"december 11, 1883"
nm0766705,"december 18, 1882"
nm0866010,"april 28, 1874"
nm0603646,"september 3, 1902"
nm0150892,"march 10, 1925"
nm0003277,"july 15, 1883"
nm0079722,"november 9, 1916"
nm0223190,"september 26, 1912"
nm0908403,"june 24, 1907"
nm0676635,"august 3, 1902"
nm0247305,"july 16, 1882"
nm0217303,"january 10, 1909"
nm0220128,"february 22, 1883"
nm0429868,"august 12, 1896"
nm0330147,"june 21, 1893"
nm0427845,"february 21, 1910"
nm0606256,"april 10, 1871"
nm0750660,"august 16, 1882"
nm0926051,"october 28, 1899"
nm0535169,"january 13, 1914"
nm0662972,"december 13, 1914"
nm0060931,"may 21, 1918"
nm0354947,"march 21, 1891"
nm0872683,"july 13, 1898"
nm0054253,"november 19, 1902"
nm0091922,"july 4, 1883"
nm0107589,"august 2, 1897"
nm0193318,"may 11, 1902"
nm0258347,"october 1, 1938"
nm0264469,"november 21, 1913"
nm9056943,"november 27, 1913"
nm0357764,"december 9, 1903"
nm0329832,"june 3, 1917"
nm0355653,"august 15, 1920"
nm0217316,"october 8, 1919"
nm0070827,"april 16, 1917"
nm0696250,"august 13, 1924"
nm0833258,"december 27, 1922"
nm0151576,"july 22, 1921"
nm0003377,"june 15, 1884"
nm0881832,"september 22, 1894"
nm0329831,"august 29, 1923"
nm0290342,"november 25, 1888"
nm0329827,"january 9, 1886"
nm0634755,"april 23, 1895"
nm0233856,"september 30, 1901"
nm0000802,"may 3, 1906"
nm0107795,"march 2, 1892"
nm0002108,"november 28, 1923"
nm0860471,"november 27, 1925"
nm0092290,"april 5, 1901"
nm0728230,"april 26, 1888"
nm0909544,"june 15, 1923"
nm0085880,"may 22, 1913"
nm0002025,"july 18, 1911"
nm0001257,"december 24, 1922"
nm0356107,"august 8, 1892"
nm0365039,"january 11, 1877"
nm0453325,"november 3, 1917"
nm0642993,"august 21, 1897"
nm0704014,"january 22, 1903"
nm1042208,"february 21, 1899"
nm0662335,"august 11, 1915"
nm0836724,"february 12, 1883"
nm0671496,"december 27, 1901"
nm0814810,"may 18, 1921"
nm0464137,"november 13, 1874"
nm0528677,"february 14, 1897"
nm0565429,"february 11, 1921"
nm0283170,"november 23, 1898"
nm0286665,"november 5, 1894"
nm0355538,"february 3, 1912"
nm0429853,"april 1, 1923"
nm0925509,"december 4, 1910"
nm0107574,"october 20, 1899"
nm0447043,"august 20, 1884"
nm0749518,"october 25, 1901"
nm0643048,"february 21, 1890"
nm0331048,"september 2, 1921"
nm0062520,"march 19, 1902"
nm0155864,"may 25, 1912"
nm0285643,"august 14, 1881"
nm0642988,"november 12, 1903"
nm0288078,"december 6, 1924"
nm0007219,"september 26, 1901"
nm0020145,"july 3, 1920"
nm0570451,"may 23, 1898"
nm0213619,"november 14, 1910"
nm0140504,"august 6, 1881"
nm0030166,"august 17, 1918"
nm0327089,"july 10, 1905"
nm0230948,"january 5, 1908"
nm0141479,"february 10, 1911"
nm0248291,"november 10, 1875"
nm0639495,"may 31, 1912"
nm0627910,"august 12, 1911"
nm0929116,"december 21, 1899"
nm0355551,"april 18, 1923"
nm0427157,"october 24, 1900"
nm0398139,"july 5, 1900"
nm0562771,"september 20, 1897"
nm0144185,"march 21, 1893"
nm0143806,"july 30, 1918"
nm0262846,"march 5, 1893"
nm0288654,"february 5, 1902"
nm0687651,"january 19, 1876"
nm0922385,"october 11, 1903"
nm0350268,"april 8, 1908"
nm0892703,"february 5, 1906"
nm0948451,"march 21, 1908"
nm0592058,"april 20, 1915"
nm0196246,"october 26, 1881"
nm0168105,"december 20, 1909"
nm0502146,"august 25, 1905"
nm0001678,"november 5, 1911"
nm1022326,"july 4, 1934"
nm0199585,"july 4, 1912"
nm0550701,"january 29, 1909"
nm0206478,"october 13, 1920"
nm0402554,"october 17, 1917"
nm0430870,"july 21, 1901"
nm0118000,"march 20, 1903"
nm0820409,"october 9, 1916"
nm0186172,"june 18, 1918"
nm0692796,"february 19, 1901"
nm0249847,"october 8, 1914"
nm0309607,"february 1, 1926"
nm0838843,"july 10, 1892"
nm0587534,"november 9, 1892"
nm0089702,"may 25, 1889"
nm0137393,"september 28, 1913"
nm0054609,"december 18, 1919"
nm0848667,"october 29, 1899"
nm0496473,"november 6, 1899"
nm0623417,"may 22, 1879"
nm0129894,"february 19, 1895"
nm0940579,"december 2, 1906"
nm0951063,"june 18, 1887"
nm0378337,"february 28, 1906"
nm0521156,"april 17, 1926"
nm0242562,"february 26, 1874"
nm0080867,"april 1, 1909"
nm0872525,1917
nm0063915,"january 1, 1925"
nm0102718,"december 18, 1877"
nm0108260,"february 19, 1918"
nm0108279,"february 19, 1918"
nm0614278,"july 4, 1902"
nm0799963,"may 25, 1913"
nm0002038,"july 23, 1925"
nm0908055,"may 10, 1922"
nm0089478,"september 12, 1901"
nm0395043,"june 30, 1917"
nm0026655,"september 18, 1905"
nm0779220,"june 11, 1920"
nm0101073,"march 10, 1923"
nm1303616,"november 8, 1927"
nm1308058,"may 20, 1926"
nm1306374,"august 9, 1929"
nm0556823,"june 1, 1888"
nm0234186,"november 19, 1905"
nm0566948,"november 5, 1905"
nm0000058,"august 17, 1920"
nm0001105,"october 16, 1923"
nm0593775,"july 11, 1892"
nm0000063,"april 21, 1915"
nm2916826,"april 9, 1906"
nm0109063,"november 18, 1883"
nm0504353,"june 8, 1875"
nm0650995,"february 21, 1880"
nm0028133,"february 11, 1905"
nm0073590,"february 22, 1881"
nm0080930,"august 8, 1886"
nm0085782,"july 13, 1895"
nm0088285,"september 24, 1894"
nm4185833,"january 11, 1889"
nm0179875,"november 29, 1914"
nm0124139,"october 14, 1907"
nm0203383,"december 25, 1886"
nm0785304,"january 8, 1895"
nm0151356,"march 12, 1894"
nm0369845,"january 10, 1911"
nm0122685,"april 20, 1887"
nm0344103,"october 10, 1901"
nm0798855,"may 26, 1912"
nm0888349,"october 4, 1904"
nm0141330,"november 12, 1920"
nm0940617,"may 5, 1889"
nm0001906,"october 8, 1910"
nm0466773,"december 24, 1887"
nm0167760,"june 23, 1892"
nm0063446,"october 18, 1879"
nm1093828,"july 6, 1901"
nm0167673,"november 26, 1900"
nm0485226,"september 22, 1909"
nm0894734,"may 27, 1905"
nm0719121,"april 23, 1904"
nm0218409,"november 8, 1892"
nm0132080,"december 23, 1897"
nm0699703,"july 13, 1905"
nm0248181,"october 9, 1888"
nm0293556,"april 24, 1894"
nm0689737,"february 1, 1875"
nm0002052,"december 4, 1921"
nm0656745,"december 2, 1910"
nm0455893,"april 18, 1903"
nm0898687,"july 17, 1920"
nm0866558,"june 29, 1885"
nm0087404,"june 4, 1876"
nm0010185,"february 26, 1870"
nm0040090,"november 9, 1887"
nm0040374,"january 20, 1895"
nm0001452,"july 1, 1899"
nm0001870,"february 22, 1907"
nm0639684,"january 15, 1937"
nm0307326,"july 17, 1905"
nm0654239,"august 5, 1887"
nm0706533,"august 23, 1905"
nm0640547,"october 23, 1880"
nm0835681,"december 2, 1897"
nm0362815,"april 27, 1875"
nm0563417,"december 25, 1907"
nm0608917,"june 13, 1920"
nm0713929,"november 28, 1925"
nm0849586,"november 17, 1911"
nm0492444,"september 7, 1923"
nm0020568,"july 10, 1883"
nm0486387,"april 4, 1913"
nm0635798,"march 10, 1911"
nm0940553,"april 14, 1918"
nm0107587,"august 14, 1919"
nm0185769,"march 30, 1884"
nm0372610,"january 1, 1922"
nm0472497,"february 27, 1918"
nm0431882,"august 17, 1882"
nm0570253,"february 22, 1926"
nm0477517,"june 18, 1905"
nm0587900,"april 12, 1923"
nm0602005,"february 24, 1876"
nm0232655,"july 10, 1921"
nm0293418,"december 9, 1895"
nm0140821,"november 18, 1919"
nm0091928,"january 19, 1908"
nm0044808,"november 2, 1913"
nm0556970,"january 15, 1906"
nm0629389,"march 27, 1921"
nm0021519,"september 19, 1904"
nm0089591,"january 21, 1919"
nm0101865,"october 2, 1908"
nm0000011,"may 7, 1901"
nm0942863,"october 27, 1918"
nm0604656,"june 1, 1890"
nm0521937,"january 9, 1915"
nm0107631,"december 12, 1882"
nm0172048,"september 20, 1892"
nm0260728,"january 26, 1908"
nm0871695,"march 27, 1907"
nm0387561,"november 16, 1877"
nm0133802,"april 18, 1899"
nm0045784,"september 6, 1893"
nm0871676,"may 21, 1906"
nm0016251,"january 2, 1903"
nm0113873,"july 28, 1891"
nm0369896,"november 8, 1912"
nm0262661,"october 31, 1912"
nm0309641,"january 17, 1891"
nm0514707,"august 16, 1895"
nm0408184,"august 15, 1875"
nm0461665,"august 6, 1926"
nm0312015,"december 17, 1909"
nm0290937,"june 8, 1908"
nm0071031,"march 1, 1875"
nm0137625,"january 15, 1882"
nm0940199,"december 17, 1915"
nm0284538,"october 10, 1916"
nm0282418,"october 19, 1882"
nm0447580,"march 10, 1898"
nm0382165,"september 19, 1903"
nm0911955,"november 4, 1908"
nm0090029,"september 1, 1893"
nm0636226,"september 2, 1889"
nm0151001,"april 16, 1896"
nm0119404,"april 20, 1913"
nm0517425,"may 25, 1897"
nm0448991,"january 22, 1916"
nm0250352,"october 11, 1881"
nm0507221,"december 10, 1903"
nm0704526,"july 17, 1917"
nm0076150,"october 4, 1899"
nm0744841,"january 8, 1903"
nm0852764,"january 23, 1899"
nm0163846,"january 15, 1881"
nm0254502,"july 5, 1876"
nm0254381,"october 16, 1904"
nm0086706,"september 18, 1933"
nm0281596,"august 9, 1882"
nm0829725,"june 5, 1923"
nm0567756,"august 22, 1891"
nm0154184,"february 12, 1881"
nm0101394,"december 15, 1890"
nm0124181,"november 13, 1875"
nm0164521,"february 26, 1891"
nm0640307,"august 28, 1925"
nm0899091,"september 17, 1907"
nm0110813,"august 11, 1891"
nm0871546,"july 23, 1894"
nm0461549,"november 11, 1911"
nm0111297,"december 25, 1903"
nm0874139,"september 19, 1889"
nm0326809,"may 28, 1892"
nm0385594,"april 4, 1875"
nm0475510,"may 18, 1936"
nm0044777,"june 17, 1926"
nm0000037,"august 23, 1912"
nm0926636,"june 4, 1906"
nm0362869,"june 30, 1920"
nm0313438,"september 13, 1900"
nm0814216,"february 15, 1899"
nm0042380,"october 9, 1877"
nm0067203,"january 8, 1872"
nm0075381,"june 13, 1895"
nm0086678,"april 4, 1905"
nm0156042,"july 28, 1878"
nm0174692,"july 16, 1886"
nm0000472,"november 23, 1887"
nm0268129,"july 22, 1917"
nm0893952,"december 6, 1902"
nm0249602,"january 1, 1885"
nm0047446,"july 29, 1882"
nm0754942,"january 27, 1924"
nm0057422,"march 4, 1907"
nm0621770,"august 15, 1884"
nm0171935,"march 21, 1919"
nm0001033,"february 10, 1906"
nm0038140,"june 18, 1914"
nm0042549,"february 23, 1920"
nm0046773,"december 24, 1910"
nm0057711,"april 3, 1898"
nm0195362,"november 28, 1911"
nm0423579,"may 3, 1916"
nm0500021,"january 31, 1882"
nm0824685,"june 12, 1909"
nm0122664,"january 15, 1914"
nm13189314,"april 9, 1890"
nm0001443,"november 9, 1914"
nm0289858,"august 5, 1888"
nm0130407,"august 4, 1897"
nm0862239,"september 27, 1920"
nm0812453,"december 26, 1889"
nm0161862,"august 30, 1889"
nm0314065,"november 10, 1904"
nm0008226,"february 25, 1902"
nm0015333,"february 21, 1886"
nm0016422,"october 4, 1886"
nm0016481,"january 9, 1902"
nm0036508,"september 3, 1921"
nm0000260,"august 20, 1956"
nm0000198,"march 21, 1958"
nm0000313,"december 4, 1949"
nm0000225,"august 18, 1969"
nm0000385,"august 9, 1944"
nm0676973,"february 21, 1953"
nm0007210,"july 2, 1948"
nm0001311,"september 10, 1931"
nm0082802,1958
nm0859450,"february 12, 1949"
nm0000446,"november 22, 1961"
nm0606700,"january 28, 1969"
nm0881703,"february 17, 1957"
nm0296948,"january 8, 1993"
nm0868125,"february 17, 1964"
nm0852668,"september 20, 1964"
nm0311623,"november 6, 1952"
nm0497847,"october 24, 1924"
nm0907404,"november 13, 1895"
nm0066251,"september 3, 1911"
nm0734016,"august 14, 1909"
nm0634226,"april 13, 1908"
nm0823633,"march 28, 1903"
nm0020289,"september 2, 1906"
nm0728811,"january 12, 1905"
nm0855579,"february 12, 1891"
nm0852305,"february 26, 1907"
nm0010334,"september 15, 1903"
nm0039135,"february 22, 1915"
nm0183622,1912
nm0040433,"august 16, 1922"
nm0906843,"february 16, 1914"
nm0531810,"september 8, 1901"
nm0914155,"december 8, 1903"
nm0040327,"february 5, 1912"
nm0932214,"may 14, 1914"
nm0806134,"march 26, 1912"
nm0879119,"december 7, 1900"
nm0734340,"october 6, 1890"
nm0943837,"january 5, 1917"
nm0184578,"october 6, 1897"
nm0485704,"february 15, 1915"
nm0186968,"march 21, 1911"
nm0933161,"july 29, 1894"
nm0107600,"august 29, 1903"
nm0154759,"december 28, 1894"
nm0324747,"september 27, 1875"
nm0354878,"may 24, 1889"
nm0392059,"march 10, 1884"
nm0447930,"june 27, 1908"
nm0003424,"may 28, 1887"
nm0562866,"june 28, 1886"
nm0582209,"october 26, 1907"
nm0001225,"april 20, 1924"
nm0186428,"february 7, 1916"
nm0533692,"december 25, 1902"
nm0032221,"august 8, 1871"
nm0108653,"february 26, 1891"
nm0333775,"june 2, 1920"
nm0429361,"november 25, 1875"
nm0536499,"january 5, 1900"
nm0175410,"april 11, 1881"
nm0663875,"may 19, 1904"
nm0765421,"april 24, 1880"
nm0783763,"november 20, 1887"
nm0853576,"january 12, 1902"
nm0800386,"april 23, 1911"
nm0808949,"march 19, 1907"
nm0709905,"october 30, 1914"
nm0545295,"september 27, 1910"
nm0212828,"may 12, 1878"
nm0751131,"august 2, 1916"
nm0300809,"april 5, 1912"
nm0484240,"march 24, 1902"
nm0081276,"august 6, 1934"
nm0204858,"november 2, 1933"
nm1265598,"november 28, 1934"
nm0232985,"june 11, 1936"
nm0323079,"june 17, 1911"
nm0402985,"march 24, 1931"
nm0422490,"october 21, 1895"
nm0783003,"august 30, 1905"
nm0941666,"august 19, 1913"
nm0204834,"september 11, 1899"
nm0071986,"march 21, 1895"
nm0177949,"july 23, 1906"
nm0279963,"october 20, 1889"
nm0544578,"november 25, 1901"
nm0680376,"august 14, 1899"
nm0852365,"december 29, 1883"
nm0103627,"march 29, 1912"
nm0942929,"january 5, 1911"
nm0767243,"february 19, 1921"
nm0437304,"august 12, 1889"
nm0050073,"november 22, 1925"
nm0140951,"april 16, 1914"
nm0891027,"november 5, 1890"
nm0042552,"june 12, 1884"
nm0129678,"january 9, 1923"
nm0180679,"february 9, 1893"
nm0523225,"october 17, 1913"
nm0112198,"july 18, 1915"
nm0036792,"august 20, 1906"
nm0479011,"may 3, 1902"
nm0345300,"may 5, 1894"
nm0384018,"july 14, 1892"
nm0636118,"december 23, 1892"
nm0868177,"january 2, 1887"
nm0942926,"march 26, 1894"
nm0643353,"february 19, 1911"
nm0867144,"february 27, 1905"
nm0047810,"december 7, 1893"
nm0176879,"december 26, 1903"
nm0002270,"october 20, 1895"
nm0571904,"june 12, 1912"
nm0617160,"june 28, 1898"
nm0096130,"march 21, 1897"
