year,month,cover_model,date_of_birth,profession
2002,January,Julianne Moore,1960,Actress
2002,February,Sarah Jessica Parker,1965,Actress & producer
2002,March,Gwyneth Kate Paltrow,1972,Actress & businesswomen
2002,April,Angelina Jolie,1975,"Actress, filmmaker & humanitarian"
2002,May,Natalie Portman,1981,Actress
2002,June,Ashley Judd,1968,Actress
2002,July,Amber Valletta,1974,Model & actress
2002,August,Jennifer Aniston,1969,"Actress, producer & businesswomen"
2002,September,Kate Hudson,1979,Actress
2002,October,Christy Turlington,1969,Model & humanitarian 
2002,November,Catherine Zeta-Jones,1969,Actress
2002,November,Renee Zellweger,1969,Actress
2002,December,Helle Berry,1966,Actress
2003,January ,Sandra Bullock	,1964,Actress & producer
2003,February,Debra Messing	,1968,actress
2003,March,Julianne Moore	,1960,actress
2003,April,Brooke Shields	,1965,actress
2003,May,Cameron Diaz	,1972,"Actress, author, entrepreneur & model"
2003,June,Reese Witherspoon	,1976,actress & producer
2003,July,Demi Moore,1962,actress
2003,August,Sarah Jessica Parker,1965,actress & producer
2003,September,Nicole Kidman,1967,actress & producer
2003,October,Gwyneth Paltrow,1972,Actress & businesswomen
2003,November,Uma Thurman,1970,Model & actress
2003,December,Renée Zellweger,1969,actress
2004,January ,Jennifer Aniston,1969,"Actress, producer & businesswomen"
2004,February,Natalie Portman,1981,actress
2004,March,Angelina Jolie,1975,"Actress, filmmaker & humanitarian"
2004,April,Gwen Stefani	,1969,Singer & Songwriter
2004,May,Nicole Kidman,1967,actress & producer
2004,June,Kate Hudson,1979,actress
2004,July,Kirsten Dunst,1982,actress
2004,August,Priscilla Presley,1945,businesswoman & actress
2004,August,Lisa Marie Presley,1968,singer & Songwriter
2004,August,Riley Keough	,1989,actress
2004,September,Daria Werbowy,1983,model
2004,September,Natalia Vodianova,1982,"model, actress & ambassador "
2004,September,Gisele Bündchen,1980,model
2004,September,Isabeli Fontana,1983,model
2004,September,Karolína Kurková,1984,model & actress
2004,September,Liya Kebede,1978,"model, maternal health advocate, clothing designer & actress "
2004,September,Hana Soukupová,1985,model
2004,September,Gemma Ward,1987,model & actress
2004,September,Karen Elson,1979,model & singer-songwriter
2004,October,Charlize Theron	,1975,actress & producer
2004,November,Jennifer Connelly	,1970,actress
2004,December,Cate Blanchett	,1969,actor & producer
2005,January ,Jennifer Lopez,1969,singer & actress
2005,February,Melania Trump,1970,former model & businesswoman
2005,March,Sandra Bullock,1964,actor & producer
2005,April,Drew Barrymore,1975,"actor, producer, talk show host & author"
2005,May,Liya Kebede,1978,"modern, maternal health advocate, clothing designer & actress"
2005,June,Salma Hayek,1966,actress & film producer
2005,July,Kate Winslet,1975,actress
2005,August,Madonna,1958,"Singer, songwriter & actress"
2005,September,Sarah Jessica Parker,1965,actress & producer
2005,October,Gwyneth Paltrow,1972,Actress & businesswomen
2005,November,Reese Witherspoon,1976,actress & producer
2005,December,Keira Knightley,1985,actress
2006,January ,Sienna Miller	,1981,actress
2006,February,Drew Barrymore,1975,"actor, producer, talk show host & author"
2006,March,Natalie Portman,1981,actress
2006,April,Jennifer Aniston,1969,"Actress, producer & businesswomen"
2006,May,Keira Knightley,1985,actress
2006,June,Uma Thurman,1970,Actress & model
2006,July,Kate Hudson,1979,actress
2006,August,Linda Evangelista,1965,fashion model
2006,September,Kirsten Dunst,1982,actress
2006,October,Sandra Bullock,1964,  actor & producer
2006,November,Cate Blanchett,1969,actor & producer
2006,December,Nicole Kidman,1967,actress & producer
2007,January,Angelina Jolie,1975,"Actress, filmmaker & humanitarian"
2007,February,Renée Zellweger,1969,actress
2007,March,Jennifer Hudson,1981,"Singer, actress & talk show host"
2007,April,Scarlett Johansson,1984,actress
2007,May,Lily Donaldson,1988,model
2007,May,Hilary Rhoda,1987,model
2007,May,Doutzen Kroes,1985,fashion model
2007,May,Sasha Pivovarova,1985,model
2007,May,Caroline Trentini,1987,model
2007,May,Raquel Zimmermann,1983,model
2007,May,Jessica Stam,1986,model
2007,May,Chanel Iman,1990,model
2007,May,Coco Rocha,1988,model
2007,May,Agyness Deyn	,1983,model & actress
2007,June,Keira Knightley	,1985,actress
2007,July,Natalia Vodianova	,1982,"model, actress & ambassador"
2007,August,Winona Ryder	,1971,actress
2007,September,Sienna Miller	,1981,actress
2007,October,Charlize Theron,1975,actress & producer
2007,November,Jennifer Connelly,1970,actress
2007,December,Penélope Cruz,1974,Actress
2008,January ,Kate Hudson	,1979,actress
2008,February,Kate Bosworth	,1983,actress
2008,March,Drew Barrymore	,1975,"Actress, producer, talkshow host & author"
2008,April,Gisele Bündchen,1980,model
2008,april,LeBron James	,1984,Basketball player
2008,May,Gwyneth Paltrow,1972,Actress & businesswomen
2008,June,Sarah Jessica Parker ,1965,Actress & producer
2008,june,Chris Noth,1954,Actor
2008,July,Nicole Kidman,1967,actor & producer
2008,August,Kate Moss,1974,model
2008,September,Keira Knightley,1985,actress
2008,October,Rachel Weisz,1970,actress
2008,November,Reese Witherspoon,1976,actress & producer
2008,December,Jennifer Aniston,1969,"actress, producer & businesswomen"
2009,January,Anne Hathaway	,1982,actress
2009,February,Blake Lively	,1987,actress
2009,March,Michelle Obama	,1964,attorney & author
2009,April,Beyoncé	,1981,"Singer, songwriter & businesswoman"
2009,May,Liya Kebede,1978,"model, maternal health advocate, clothing designer & actress "
2009,May,Natalia Vodianova,1982,"model, actress & ambassodar"
2009,May,Anna Jagodzińska,1987,model
2009,may,Isabeli Fontana,1983,model
2009,may,Lara Stone,1983,model
2009,may,Jourdan Dunn,1990,model
2009,may,Raquel Zimmermann,1983,model
2009,may,Caroline Trentini,1987,model
2009,may,Natasha Poly,1985,model
2009,June,Cameron Diaz,1972,"Actress, author, entrepreneur & model"
2009,July,Sienna Miller,1981,actress
2009,August,Christy Turlington,1969,Model & humanitarian 
2009,September,Charlize Theron,1975,"actress, producer "
2009,October,Michelle Williams,1980,actress
2009,November,Nicole Kidman,1967,actress & producer
2009,November,Marion Cotillard,1975,actress
2009,November,Penélope Cruz,1974,actress
2009,November,Kate Hudson	,1979,actress
2009,December,Cate Blanchett	,1969,actor & producer
2010,January,Rachel McAdams	,1978,actress
2010,February,Jessica Biel	,1982,actress & producer
2010,March,Tina Fey	,1970,"actress comedian, writer & producer"
2010,April,Gisele Bündchen	,1980,model
2010,May,Sarah Jessica Parker	,1965,actress & producer
2010,June,Blake Lively	,1987,actress
2010,July,Marion Cotillard	,1975,actress
2010,August,Gwyneth Paltrow	,1972,Actress & businesswomen
2010,September,Halle Berry	,1966,actress
2010,October,Carey Mulligan	,1985,actress
2010,November,Anne Hathaway	,1982,actress
2010,December,Angelina Jolie	,1975,"Actress, filmmaker & humanitarian"
2011,January,Natalie Portman	,1981,actress
2011,February,Kristen Stewart	,1990,actress
2011,March,Lady Gaga	,1986,"singer, songwriter & actress"
2011,April,Rihanna	,1988,"singer, songwriter, businesswoman & actress"
2011,May,Reese Witherspoon	,1976,actress & producer
2011,June,Penélope Cruz	,1974, actress
2011,July,Emma Watson	,1990,actress
2011,August,Sarah Jessica Parker	,1965,actress & producer
2011,September,Kate Moss	,1974,model
2011,October,Michelle Williams	,1980,actress
2011,November,Rooney Mara,1985,actress
2011,December,Charlize Theron,1975,actress & producer
2012,January ,Meryl Streep	,1949,actress
2012,February,Taylor Swift	,1989,singer-songwriter
2012,March,Adele	,1988,singer-songwriter
2012,April,Jennifer Lopez	,1969,singer& actress
2012,May,Scarlett Johansson,1984,actress
2012,June,Hope Solo,1981,football goalkeeper
2012,June,Ryan Lochte,1984,swimmer & 12-time olympic medalist
2012,June,Serena Williams,1981,tennis player
2012,July,Emma Stone,1988,actress & producer
2012,August,Marion Cotillard,1975,actress
2012,September,Lady Gaga,1986,"singer, songwriter & actress"
2012,October,Keira Knightley,1985,actress
2012,November,Rihanna,1988,"singer, songwriter, businesswoman & actress"
2012,December,Anne Hathaway,1982,actress
2013,January,Gwen Stefani	,1969,singer & Songwriter
2013,February,Rooney Mara	,1985,actress
2013,March,Beyoncé	,1981,"Singer, songwriter & businesswoman"
2013,April,Michelle Obama	,1964,attorney & author
2013,May,Carey Mulligan,1985,actress
2013,June,Kate Upton,1992,model & actress
2013,July,Katy Perry,1984,"singer, songwriter & television personality"
2013,August,Claire Danes,1979,actress
2013,September,Jennifer Lawrence,1990,actress
2013,October,Sandra Bullock,1964,actress & producer
2013,November,Kate Winslet,1975,actress
2013,December,Jessica Chastain,1977,actress & producer
2014,January ,Cate Blanchett,1969,actor & producer
2014,February,Lena Dunham,1986,"writer, director, actress & producer"
2014,March,Rihanna,1988,"singer, songwriter, businesswoman & actress"
2014,April,Kim Kardashian,1980,"media personality, socialite & buinesswoman"
2014,April,Kanye West,1977,"rapper, singer, songwriter, record producer & fashion designer"
2014,May,Emma Stone,1988,actress & producer
2014,June,Charlize Theron,1975,actress & producer
2014,July,Lupita Nyong'o,1983,actress
2014,August,Blake Lively,1987,actress
2014,September,Joan Smalls,1988,model & television personality
2014,September,Cara Delevingne,1992,model & actress
2014,September,Karlie Kloss,1992,fashion model
2014,September,Arizona Muse,1988,fashion model
2014,September,Edie Campbell,1990,model
2014,September,Imaan Hammam,1996,fashion model
2014,September,Fei Fei Sun,1989,model
2014,September,Vanessa Axente,1995,fashion model
2014,September,Andreea Diaconu,1991,model
2014,October,Reese Witherspoon,1976,actress & producer
2014,November,Natalia Vodianova,1982,"model, actress & UN goodwill ambassador"
2014,December,Amy Adams	,1974,actress
2015,January,Sienna Miller	,1981,actress
2015,February,Dakota Johnson	,1989,actress
2015,March,Karlie Kloss ,1992,fashion model
2015,march,Taylor Swift,1989,singer-songwriter
2015,April,Serena Williams	,1981,tennis player
2015,May,Carey Mulligan	,1985,actress
2015,June,Amanda Seyfried	,1985,actress
2015,July,Cara Delevingne,1992,model & actress
2015,August,Nicole Kidman	,1967,actress & producer
2015,September,Beyoncé	,1981,"Singer, songwriter & businesswoman"
2015,October,Lupita Nyong'o	,1983,actress
2015,November,Angelina Jolie	,1975,"Actress, filmmaker & humanitarian"
2015,December,Jennifer Lawrence	,1990,actress
2016,January ,Alicia Vikander	,1988,actress
2016,February,Ben Stiller ,1965,"actor, comedian & filmmaker"
2016,February,Penélope Cruz,1974,actress
2016,March,Adele	,1988,singer-songwriter
2016,April,Rihanna,1988,"singer, songwriter, businesswoman & actress"
2016,May,Taylor Swift,1989,singer-songwriter
2016,June,Margot Robbie,1990,actress & producer
2016,July,Amy Schumer,1981,"comedian, actress, writer, producer & director"
2016,August,Gigi Hadid,1995,model & television personality
2016,august,Ashton Eaton,1988,decathlete & 2- time olympic champion
2016,September,Kendall Jenner	,1995,"model, media personality, socialite & businesswoman"
2016,October,Lupita Nyong'o	,1983,actress
2016,November,Emma Stone	,1988,actress & producer
2016,December,Michelle Obama	,1964,attorney & author
2017,January,Ruth Negga,1981,actress
2017,February,Dakota Johnson        ,1989,actress
2017,March,Liu Wen,1988,model
2017,march,Ashley Graham,1987,model and television presenter
2017,march,Kendall Jenner,1995,"model, media personality, socialite and businesswoman"
2017,March,Gigi Hadid,1995,model and television personality
2017,march,Imaan Hammam,1996,fashion model
2017,march,Adwoa Aboah,1992,fashion model
2017,march,Vittoria Ceretti,1998,model
2017,April,Selena Gomez	,1992,"singer, actress, businesswoman and producer"
2017,May,Katy Perry	,1984,"singer, songwriter and television personality"
2017,June,Elle Fanning	,1998,actress
2017,July,Zendaya	,1996,actress & singer
2017,august,Gigi Hadid,1995,model and television personality
2017,august, Zayn Malik,1993,singer
2017,September,Jennifer Lawrence,1990,actress
2017,October,Rooney Mara,1985,actress
2017,November,Daisy Ridley,1992,actress
2017,December,Meryl Streep	,1949,actress
2018,January,Lupita Nyong'o,1983,actress
2018,February,Serena Williams Alexis Olympia Ohanian,1981,tennis player
2018,March,Alicia Vikander,1988,actress
2018,April,Kendall Jenner,1995," model, media personality, socialite and businesswoman"
2018,May,Amal Clooney,1978,barrister
2018,June,Rihanna,1988,"singer, songwriter, businesswoman, and actress"
2018,July,Gisele Bündchen,1980,model
2018,August,Saoirse Ronan,1994,actress
2018,September,Beyoncé,1981,"singer, songwriter and businesswoman"
2018,October,Lady Gaga,1986,"singer, songwriter, and actress"
2018,November,Claire Foy,1984,actress
2018,December,Emily Blunt,1983,actress
2019,January,Priyanka Chopra,1982,actress & producer
2019,February,Reese Witherspoon,1976,actress & producer
2019,March,Justin Bieber ,1994,singer
2019,March,Hailey Bieber,1996,"model, media personality, and socialite"
2019,April,Doona Bae,1979,actress and photographer
2019,April,Scarlett Johansson,1984,actress
2019,April,Deepika Padukone,1986,actress
2019,April,Léa Seydoux,1985,actor
2019,April,Adesua Etomi,1988,actress and entrepreneur
2019,April,Elizabeth Debicki,1990,actress
2019,April,Angelababy	,1989,"actress, businesswoman, investor, model, and singer"
2019,May,Kim Kardashian West	,1980," media personality, socialite, and businesswoman"
2019,June,Zendaya	,1996,actress & singer
2019,July,Margot Robbie	,1990,actor & producer
2019,August,Ariana Grande	,1993,"singer, songwriter, and actress"
2019,September,Taylor Swift	,1989,"singer, songwriter"
2019,October,Olivia Colman	,1974,actress
2019,November,Rihanna,1988,"singer, songwriter, businesswoman, and actress"
2019,December,Phoebe Waller-Bridge,1992,rapper
2020,January ,Cardi B & Kulture Cephus,1983,"actress, writer & director"
2020,january ,Greta Gerwig & Harold Baumbach,,
2020,january,Ashley Graham,1986,model & television presenter
2020,January ,Stella McCartney & Bailey Willis,1971,fashion designer
2020,january ,Beckett Willis,2008,son of Wills
2020,january,Miller Willis,2005,son of Wills
2020,january,Reiley Willis	,2010,daughter of Wills
2020,February,Florence Pugh	,1996,actress
2020,march,Billie Eilish	,2001,singer & songwriter
2020,april,Ugbad Abdi,1999,model
2020,april,Adut Akech,1999,model
2020,april,Kaia Gerber,2001,model & actress
2020,april,Adesuwa Aighewi,1988,model and filmmaker
2020,april,Anok Yai,1997,model
2020,april,Imaan Hammam,1996,model
2020,april,Jill Kortleve,1993,model
2020,april,Krini Hernández,2000,model
2020,april,Liu Wen,1988,model
2020,april,Mika Schneider,2001,model
2020,april,Nora Attal,1999,model
2020,april,Paloma Elsesser,1992,model
2020,april,Rosanna Georgiou,1994,model
2020,april,Fran Summers,1999,model
2020,april,Vittoria Ceretti	,1998,model
2020,may,Gal Gadot	,1985,actress & model
2020,June/July,Our Common Thread	,2020,brand new english text
2020,August,Simone Biles	,1997,artist gymnast
2020,September,HOPE A Special Issue      ,2009,artwork   
2020,October,Lizzo	,1988,rapper and singer
2020,November,Naomi Campbell,1970,model
2020,November,Emily Ratajkowski,1991,model & actress
2020,December,Harry Styles,1994,singer
2021,January,Frances McDormand,1957,actress & producer
2021,January,Naomi Osaka,1997,tennis player
2021,January,Paloma Elsesser,1992,model
2021,January,Rosalía	,1992,"singer, songwriter, producer, actress and musician"
2021,February,Kamala Harris	,1964,politician & attorney
2021,March,Gigi Hadid,1995,model & television
2021,April,Selena Gomez,1992,"singer, actress, businesswoman & producer"
2021,May,Amanda Gorman,1998,poet & activist
2021,June / July,Kaia Gerber	,2001,model & actress
2021,August,Jill Biden,1951,educator
2021,September,Kaia Gerber,2001,model & actress
2021,September,"Anok Yai",1997,model
2021,September,Precious Lee,1989,model
2021,September,Bella Hadid,1996,model
2021,September,Sherry Shi,2002,model
2021,September,Ariel Nicholson,2001,"model, writer & rights activist"
2021,September,Yumi Nu,1996,model & singer-songwriter
2021,September,Lourdes Leon,1996,"fashion model, dancer & singer"
2021,October,Lorde,1996,singer & songwriter 
2021,November,Adele,1988,singer-songwriter 
2021,December,Sarah Jessica Parker,1965,actress & producer
2022,January,Olivia Wilde	,1984,actress & filmmaker
2022,February,HoYeon Jung,1994,model & actress
2022,March,Kim Kardashian,1980,"media personality, socialite & businesswoman"
2022,April,Bella Hadid,1996,model
2022,May,Rihanna,1988,"singer, songwriter, businesswoman & actress"
2022,June / July,Dua Lipa,1995,"singer, songwriter & actress"
2022,August,Emma Corrin,1995,actor
2022,September,Serena Williams,1981,tennis player
2022,October,Jennifer Lawrence	,1990,actress
2022,November,Michaela Coel	,1987,"actress, filmmaker, singer & composer"
2022,December,Jennifer Lopez	,1969,singer & actress
2023,January /February,Florence Pugh,1996,actress
2023,March,Erykah Badu,1971,singer & songwriter 
2023,April,Cara Delevingne,1992,model & actress
2023,may,Anok Yai,1997,model
2023,may,Gigi Hadid,1995,model and television personality
2023,may,Devon Aoki,1982,model & actress
2023,may,Adut Akech,1999,model
2023,may,Naomi Campbell,1970,model
2023,may,Kendall Jenner,1995,"model, media personality, socialite and businesswoman."
2023,may,Natalia Vodianova,1982,"model, actress and United Nations Goodwill Ambassador."
2023,may,Liu Wen,1988,model
2023,may,Shalom Harlow,1973,model & actress
2023,may,Amber Valletta	,1974,model & actress
2023,june/ july,Margot Robbie,1990,actress & producer
2023,August,Olivia Rodrigo,2003,singer-songwriter & actress
2023,September,Linda Evangelista,1965,fashion model 
2023,September,Cindy Crawford,1966,"model, actress & television personalities"
2023,September,Christy Turlington,1969,fashion model & humanitarian
2023,September,Naomi Campbell	,1970,model
2023,October,Kate Winslet	,1975,actress
2023,November,Carey Mulligan	,1985,actress
